ABALSAUS.doc:KGPRECF0  @ NA
ALBASPAC.doc:KGPRECF0  @ NA
ALEWANN.doc:KGPRECF0  @ 0.33
ALEWDAM.doc:KGPRECF0  @ NA
ALEWDAMR.doc:KGPRECF0  @ NA33
ALEWLAM.doc:KGPRECF0  @ NA33
ALEWLONG.doc:KGPRECF0  @ 1.581977 
ALEWMICH.doc:KGPRECF0  @ 7.747 
ALEWONT.doc:KGPRECF0  @ NA
ALEWSTJON2.doc:KGPRECF0  @ 0.33
ALEWSTJON.doc:KGPRECF0  @ NA
ALPLAKAM.doc:KGPRECF0  @ NA
AMPL3LNO.doc:KGPRECF0  @ NA
AMPL3Ps.doc:KGPRECF0  @ NA
AMPL4V.doc:KGPRECF0  @ NA
AMPL5YZ.doc:KGPRECF0  @ NA
AMPLGREEN.doc:KGPRECF0  @ NA
ANCHOBAJA.doc:KGPRECF0  @ NA
ANCHOBAYB2.doc:KGPRECF0  @ 0.0087
ANCHOBAYB.doc:KGPRECF0  @ NA
ANCHOBLACK.doc:KGPRECF0  @ 0.017
ANCHOCAL2.doc:KGPRECF0  @ 0.015
ANCHOCAL3.doc:KGPRECF0  @ 0.015
ANCHOCAL.doc:KGPRECF0  @ 0.015
ANCHOGCAL.doc:KGPRECF0  @ NA
ANCHOYELLOW.doc:KGPRECF0  @ 0.0191 
ARGEN4VWX.doc:KGPRECF0  @ NA
ASALBBR.doc:KGPRECF0  @ NA
ASALBBRLRG.doc:KGPRECF0  @ NA
ASALBEC.doc:KGPRECF0  @ NA
ASALBUS1.doc:KGPRECF0  @ NA
ASALBUS2.doc:KGPRECF0  @ NA
ASALCNR2.doc:KGPRECF0  @ NA
ASALCNR2LRG.doc:KGPRECF0  @ NA
ASALCNR.doc:KGPRECF0  @ NA
ASALCONSMOLT.doc:KGPRECF0  @ NA
ASALCONSMSA.doc:KGPRECF0  @ NA
ASALELLI.doc:KGPRECF0  @ 1.089
ASALEXRBF.doc:KGPRECF0  @ NA
ASALEXRBFFW.doc:KGPRECF0  @ NA
ASALEXRBFLRG.doc:KGPRECF0  @ NA
