 1970    .  .   24   .
 1971    .  .   32.5 .
 1972    .  .    3   .
 1973    .  .   20   .
 1974    .  .   10.5 .
 1975    .  .   12   .
 1976    .  .    0.2 .
 1977    .  .   32   .
 1978    .  .    1   .
 1979   31  .   12   .
 1980   20  .    6.5 .
 1981   16  .    4   .
 1982   15  .    2   .
 1983 15.8  .    3.8 .
 1984   14  .    8   .
 1985  8.2  .    2.5 .
 1986    5  .    1.8 .
 1987    .  .    0   .
 1988    .  .    2   .
 1989    .  .    1.5 .
