1968         .     33286         .         .
1969         .     38866         .         .
1970     28025     33966      5261 0.1720399
1971     36225     26092      2641 0.0703703
1972     25150     62150      8816 0.3005021
1973     21630     15502      4462 0.1875475
1974     19050    116657     43100 1.1824837
1975     15350     25011       152 0.0098536
1976     96051     86291     20606 0.1943587
1977     17775     62081      7236 0.3415228
1978     78811     82889      7480 0.0906727
1979     62000     75519        81 0.0013056
1980     64700     53911     18189 0.2477412
1981     49850         .     25669 0.4153658
1982     43550         .     10361 0.2134248
