     1992       .     2344 .  .
     1993      915     1901       652 .8494
     1994      858     1538       578 .7472
     1995      892     1881       541 .7262
     1996      816     1341       431 .6615
     1997      831     1179       639 .7407
     1998      720     1282       439 .7584
     1999      769        .       465 .5872
     2000      599        .       372 .7810
