 1971  . 0.8607080  .  .
 1972  . 1.0832871  .  .
 1973  . 1.1051709  .  .
 1974  . 1.3771278  .  .
 1975  . 1.5068178  .  .
 1976  . 1.4769808  .  .
 1977  . 1.6487213  .  .
 1978  . 3.3201169  .  .
 1979  . 1.4918247  .  .
 1980  . 1.6487213  .  .
 1981  . 1.4622846  .  .
 1982  . 1.7332530  .  .
 1983  . 3.2543742  .  .
 1984  . 2.2255409  .  .
 1985  . 1.5527072  .  .
 1986  . 2.4108997  .  .
 1987  . 2.2255409  .  .
 1988  . 2.0137527  .  .
 1989  . 2.1170000  .  .
 1890  . 1.5683122  .  .
 1991  . 1.9542373  .  .
 1992  . 0.3678794  .  .
