1968         .     61998         .         .
1969         .     26930         .         .
1970     52199     44568      9799 0.1720388
1971     25100      7497      1830 0.0703731
1972     33000     95099     11568 0.3005086
1973      6215     11624      1282 0.1875372
1974     29150    175218     65949 1.1824635
1975     11510      7085       114 0.0098557
1976    144268     44891     30950 0.1943582
1977      5035     10844      2050 0.3415663
1978     41000     22580      3891 0.0906653
1979     10830     18081        14 0.0012919
1980     17625      4970      4955 0.2477462
1981     11935         .      6146 0.4153864
1982      4015         .       955 0.2133825
