1949   304.1   2236.1   .   . 
1950   401.0   1516.2   .   .
1951   428.3   2124.4   .   .
1952   442.2   2840.7   .   .
1953   321.9   2366.4   .   .
1954   283.1   1695.0   .   .
1955    94.0   1539.2   .   .
1956   322.6   1759.2   .   .
1957   343.6   1494.2   .   .  
1958   228.3    995.0   .   .
1959   147.8    961.4   .   .
1960   151.4   1356.3   .   .  
1961   189.8   1199.0   .   .
1962   118.7   1035.6   .   .
1963    65.0   1286.0   .   ,  
1964    78.6   1329.1   .   , 
1965   128.3   1210.2   .   .
1966    67.3   1221.1   .   .
1967    68.9   1341.1   .   .
1968    92.5   1459.1   .   .
1969    76.1   1666.8   .   .  
1970    63.0   1412.9   .   .  
1971    50.6   1418.8   .   .
1972    72.5   1335.1   .   .
1973    78.2   1031.6   .   .
1974    66.4    855.3   .   .
1975    19.7    822.8   .   .
1976    41.0    840.4   .   .
1977    15.3    549.6   .   .
1978    30.9    218.6   .   .
1979    12.6    187.4   .   .
1980    24.5    161.2   .   .
1981    55.4    125.0   .   .
1982    34.1    176.4   .   .
1983    11.4    261.8   .   .
