 1970  37397 3805641
 1971  34729 1366622
 1972  64280 1314246
 1973  64239 1962371
 1974  56066  838894
 1975  51578 3605224
 1976  38426  872795
 1977  53403 1054873
 1978  50188 1002077
 1979  49014 1132650
 1980  49192  937768
 1981  50184 1872371
 1982  45721 1305460
 1983  55038 2341445
 1984  44545 1223612
 1985  60000 1030751
 1986  72039 3671997
 1987  55451  535014
 1988 100086 1316759
 1989  63407 3612561
 1990  77177 3770372
 1991  79746 4463832
 1992 103253 3324390
 1993 120897 3297155
 1994 127360 4383719
 1995 125043 5771010
 1996 123721 3423190
 1997 127962 3542906
