1985    .  84    .     .
1986    .  74    .     .
1987    .  66    .     .
1988    .  37    .     .
1989   75  56   58   .32
1990   60 205   81  0.54
1991   40 173 48.5  0.38
1992   33  42   43   0.5
1993   25  45   29  0.49
1994   15  98   11  0.22
1995 16.6   . 13.5  0.37
1996   14   .   58 0.103
1997   19   .  1.3  0.02
1998   25   .  0.9 0.007
