1984  . 0.1   .  .        
1985  . 0.3   .  . 
1986  . 0.7   .  . 
1987  . 0.1    .  . 
1988  . 0.2   .  . 
1989  . 0.6    .  . 
1990  . 0.2   .  . 
1991  . 0.1    .  . 
1992  . 0.5   .  . 
