 1980  8.5 128.2 163  .
 1981 15.4 557.2 587  .
 1982 51.4 627.8 719  .
 1983   44 329.4 419  .
 1984 26.6 264.3 312  .
 1985 14.3 160.1 195  .
 1986  9.8 146.1 174  .
 1987 13.6 137.1 162  .
 1988   10 115.2 136  .
 1989  6.1 102.9 123  .
