1968         .     51963         .         .
1969         .     35352         .         .
1970     43750    115302      8213 0.1720403
1971     32950     11791      2402 0.0703637
1972     85375     20717     29927 0.3005015
1973      9775     14997      2016 0.1875084
1974      6350     80767     14367 1.1824998
1975     14850     14816       147 0.0098503
1976     66501     52118     14266 0.1943515
1977     10530      4236      4286 0.3414794
1978     47600    116386      4518 0.0906776
1979      4230     12195         6 0.0014174
1980     90847      6190     25539 0.2477355
1981      8050         .      4145 0.4153539
1982      5000         .      1190 0.2134972
