 1982        .    87941        .      .
 1983         .    74518         .          .
 1984   152180    35638    74824 0.6221
 1985   128256    36712    75451 0.5275
 1986   134050    40546    68905 0.5806
 1987   125248    43078    60972 0.4916
 1988   125645    41234    59294 0.6194
 1989   100718    58718    40285 0.3751
 1990   109939    49210    28127 0.1834
 1991   132231    30321    24822 0.1700
 1992   164191    24650    41690 0.2349
 1993   177315    32832    52557 0.2346
 1994   184690    36901    54562 0.2437
 1995   164516    28735    57207 0.3159
 1996   167442    22147    61776 0.3894
 1997   135866    17713    63319 0.4110
 1998    94830    21773    51572 0.4662
 1999    72224        .    40732 0.5035
 2000    64902        .    36715 0.4882
