1950	    298		 9.8	  .            .
1951	    330		 7.3	  .            .
1952	    345		 5.3	  .            .
1953	    298		 4.8	  .            .
1954	    265		 7.6	  .            .
1955	    234		16.7	  .            .
1956	    183		29.5	  .            .
1957	    197		32.4	  .            .
1958	    291		24.4	  .            .
1959	    444		20.5	  .            .
1960	    594		14.4	  .            .
1961	    626		12.6	  .            .
1962	    523		 8.2	  .            .
1963	    375		 3.5	  .            .
1964	    348		 2.5	  .            .
1965	    227		 2.6	  .            .
1966	    110		 4.1	  .            .
1967	     62		 8.6	  .            .
1968	     71		 8.7	  .            .
1969	     63		 5.3	  .            .
1970	     80		 5.0	  .            .
1971	     74		 7.7	  .            .
1972	     79		 3.2	  .            .
1973	     53		 7.3	  .            .
1974	     59		 5.3	  .            .
1975	     97		 5.2	  .            .
1976	    122		 3.7	  .            .
1977	     33		 5.0	  .            .
1978	     65		 2.9	  .            .
1979	     45		 3.7	  .            .
1980	     42		 2.5	  .            .
