1968         .    307826         .         .
1969         .      7632         .         .
1970     64500   1370315    243326 1.5628695
1971      4200     23716      3432 0.5972654
1972    226925    159477   1143390 1.7981764
1973      6625     14929     17091 1.2752996
1974     86525    202591     72952 0.6114663
1975      9110     16826      5819 0.4939329
1976    184500    898574     18091 0.0935397
1977      5050    105196     11776 1.2035371
1978    214849    753806    683725 1.4308736
1979     42750    178436     62446 0.9004561
1980    104700    155124    649106 1.9740359
1981     46400         .    132036 1.3469305
1982     82869         .     72255 0.6269637
