1982 0  . . . 
1983 0.02  . . . 
1984 0  . . . 
1985 0  . . . 
1986 0.0052631579  . . . 
1987 0.0096774194  . . . 
1988 0.0184210526  . . . 
1989 0  . . . 
1990 0.01  . . . 
1991 0  . . . 
1992 0  . . . 
1993 0.08  . . . 
1994 0.0263157895  . . . 
1995 0.0289473684  . . . 
1996 0  . . . 
1997 0.0145833333  . . . 
1998 0.0217391304  . . . 
1999 0.0214285714  . . . 
2000 0.075  . . . 
