1968         .    341570         .         .
1969         .     91604         .         .
1970     92500    155450    249070  1.306344
1971     90399     69824      1205 0.0132417
1972     75400    212364     80050 0.7235169
1973     65001     51191      4823 0.0715751
1974    125301    496969     87063 0.5275829
1975     45200     42584      5991 0.1244666
1976     84000     69610    412969 1.7777109
1977     40600    125222      1984 0.0477105
1978     40500    134270     29110 0.5416063
1979     80000    286809     45222 0.4480615
1980     41500       440     92770 1.1741593
1981    104501         .    182308 1.0096198
1982       350         .        90 0.2288416
