1968         .      2764         .         .
1969         .     35579         .         .
1970       856     17659      1908 1.1721638
1971     23502     37360     12077 0.4146701
1972      5098      7161     12561 1.2423973
1973     11005     48682     26355 1.2222509
1974      4150      8723      3011 0.5455413
1975     37995    820186     10687 0.2478548
1976      6000     66705      2723 0.3742037
1977    110001     34429    710185 2.0090417
1978     10499     12715     56206 1.8489999
1979     17503    265286     16926 0.6765269
1980      2398     10109     10317 1.6681473
1981     90005         .    175281 1.0809433
1982      4500         .      5609 0.8093487
