     1978  188560   320545    52908 .2479
     1979  211029   308935    53799 .2345
     1980  190956   412843    60459 .2673
     1981  196352   311002    56264 .2751
     1982  170563   278806    58057 .3034
     1983  161361   265870    60128 .3157
     1984  159169   229743    65149 .3422
     1985  186782   432966    59939 .2256
     1986  167186   252835    60053 .2311
     1987  160715   257781    65320 .2904
     1988  139277   326059    66818 .3467
     1989  137965   227306    68781 .3654
     1990  114935   348064    61410 .3664
     1991  114561   281857    59286 .3267
     1992  102411   308579    58290 .3734
     1993  104828   291241    53637 .2767
     1994  104342   218355    53140 .3571
     1995  114214   247194    58862 .3885
     1996  110536   254179    48759 .3042
     1997  127192   170051    44356 .2721
     1998  129045   149923    35877 .2609
     1999  109303   131359    39177 .2934
     2000  103394   164227    41415 .3129
