1968         .   1237505         .         .
1969         .   1194466         .         .
1970    387595    478656    849910 1.1608916
1971    740972   1122422    453494 0.4774917
1972    228036     97250    250620 0.7414787
1973    685299   1208031    437123 0.4933889
1974     43352    511816     53898 0.8079321
1975    851714   1859453    356317 0.3494963
1976    319479   1238295    192337 0.4712736
1977    506348    511128   1353105 1.3008135
1978    504659    727700    733636 0.8976078
1979    174535   1061125    336593 1.0744948
1980    366572    904895    361128 0.6856939
1981    383893         .    677232 1.0167211
1982    503110         .    401785 0.5870101
