1945  20.8  221.3   .   .
1946  21.2  392.5   .   .
1947  31.4  302.9   .   .
1948  27.8  334.5   .   .
1949  17.6  330.5   .   . 
1950  17.1  330.3   .   .
1951  38.0  445.0   .   .
1952  37.2  412.1   .   .
1953  35.4  473.7   .   .
1954  38.0  324.1   .   .
1955  38.0  356.6   .   .
1956  89.6  350.5   .   .
1957  29.4  236.0   .   .  
1958  33.4  177.3   .   .
1959  27.9  182.3   .   .
1960  54.3  234.9   .   .  
1961  36.4  345.4   .   .
1962  66.2  299.6   .   .
1963  28.7  301.6   .   ,  
1964  31.7  299.8   .   , 
1965  39.1  208.9   .   .
1966  21.5  119.4   .   .
1967  19.2  120.3   .   .
1968  35.7  117.0   .   .
1969  38.5   65.8   .   .  
1970  34.3   59.8   .   .  
1971  33.3   49.9   .   .
1972  30.0   34.4   .   .
1973  21.5   35.7   .   .
1974   8.3   28.2   .   .
1975   7.7   27.2   .   .
1976  16.2   19.7   .   .
1977  14.9   34.2   .   .
1978   8.8   33.2   .   .
1979   9.3   24.1   .   .
1980  10.4   19.8   .   .
1981  12.3   25.3   .   .
1982   0.4   70.8   .   .
1983   0.4   70.8   .   .
1984   1.1  108.8   .   .
1985   1.2  118.2   .   .
1986   1.3  102.7   .   . 
1987   9.2  103.2   .   .
1988  12.8  135.6   .   .  
1989  29.3  121.9   .   .
