Stizostedion vitreum 	 Rice Lake  	 Index 	 Index 	 .  
Salmo salar 	 Pollett River, Canada 	 Thousands of eggs 	 Number of Smolts 	 .  
Melanogrammus aeglefinus 	 NAFO 3Ps1 (First part of HAD3Ps) 	 . 	 Index from survey 	 Tonnes 
Coregonus clupeaformis 	 South Georgian Bay, Lake Huron 	 . 	 Numbers of fish 	 . 
Melanogrammus aeglefinus 	 North Sea 	 Thousand tonnes 	 Millions 	 . 
Limanda sakhalinensis 	 West Kamchatka Shelf 	 Million eggs 	 Millions 	 . 
Melanogrammus aeglefinus 	 Celtic Sea 	 Tonnes 	 Thousands 	 Tonnes 
Scomber japonicus 	 Gulf of California 	 scales per 1000 cm^2 	 . 	 . 
Oncorhynchus keta 	 Fraser River, B.C. 	 Thousands fish 	 Thousands 	 .  
Merluccius merluccius 	 ICES VIIIa,b, d, VIIb-k 	 Tonnes 	 Thousands 	 Tonnes  
Gadus morhua 	 Coastal Norway  	 Tonnes 	 Thousands 	 Tonnes 
Perca flavescens 	 Western Erie Lake 	 . 	 Number per hour 	 .  
Sebastes marinus 	 ICES V and XIV 	 Tonnes 	 Millions 	 Thousand tonnes 
Stenotomus chrysops 	 Cape Cod - Cape Hatteras USA 	 Tonnes 	 Thousands 	 Tonnes 
Oncorhynchus nerka 	 Naknek River, Alaska 	 Millions of fish 	 Millions of fish 	 Millions of fish  
Limanda limanda 	 Belt Sea 	 Tens tonnes 	 Millions 	 . 
Gadus morhua 	 NAFO 3Pn4RS 	 SPA 	 Tonnes 	 3 
Notemigonus crysoleucas 	 Lake St. George, Ontario 	 Numbers 	 Thousands 	 .  
Oncorhynchus gorbuscha 	 Prince William Sound, Alaska 	 Millions of fish 	 Millions of fish 	 millions of fish 
Esox lucius 	 South Basin, Windermere Lake 	 Kilograms of females 	 Numbers 	 . 
Lutjanus synagris 	 Zone B - Cuba 	 Hundreds tonnes 	 Millions 	 .  
Sebastes goodei 	 West U.S.A. 	 Tonnes 	 Thousands 	 . 
Oncorhynchus gorbuscha  	 Kodiak Archipelago, Alaska 	 Thousands of Fish 	 Thousands of Fish 	 Thousands of Fish 
Merlangius merlangus 	 Eastern Black Sea 	 Thousand tonnes 	 Billions 	 Tonnes 
Oncorhynchus kisutch 	 Big BeefCreek, Washington 	 . 	 Smolts 	 .  
Dicentrarchus labrax 	 South-western UK 	 . 	 Index 	 . 
Oncorhynchus gorbuscha 	 Auke Creek, Alaska  	 Fry  	 Fish  	 . 
Alosa pseudoharengus 	 Saint John River 	 Thousands 	 Thousands 	 .  
Gadus morhua 	 NAFO 5Z 	 Kg per tow 	 Numbers per tow 	 Tonnes 
Micromesistius poutassou 	 ICES 	 Tonnes 	 Thousands 	 Tonnes 
Salmo salar 	 Conne River, Nfld, CA 	 Number of small salmon 	 . 	 .  
Oncorhynchus nerka 	 Nuyakuk River, Alaska 	 Millions of fish 	 Millions of fish 	 Millions of fish  
Leuciscus leuciscus 	 River Frome, Dorset, England 	 . 	 Relative year-class strength 	 .  
Salmo salar 	 Trinite, Canada 	 Number of Eggs 	 Number of Smolt 	 .  
Melanogrammus aeglefinus 	 North East Arctic 	 Tonnes 	 Thousands 	 Tonnes 
Solea vulgaris 	 Bay of Biscay (VIII) 	 Tonnes 	 Thousands 	 Tonnes  
Pleuronectes platessa 	 Southwest of Ireland, ICES VIIh-k 	 Tonnes 	 Thousands 	 Tonnes 
Oncorhynchus nerka 	 Naknek, Alaska 	 Thousands of fish 	 Thousands of fish 	 .  
Oncorhynchus kisutch 	 Hooknose Creek, British Columbia 	 Females 	 Fry 	 .  
Scomber japonicus 	 Southern California 	 Thousand tonnes 	 . 	 . 
Oncorhynchus gorbuscha 	 Island Creek, Cook Inlet, Alaska 	 Numbers of fish 	 Numbers of fish 	 . 
Pandalus borealis 	 Davis Strait (Div. 0B) 	 kg/hr 	 . 	 Tonnes 
Thunnus thynnus 	 West Atlantic 	 Tonnes 	 Numbers 	 Tonnes 
Pseudociaena polyactis 	 East China Sea 	 Index 	 Index 	 .  
Scomber scombrus 	 North East ICES  	 Tonnes 	 Thousands 	 Tonnes 
Melanogrammus aeglefinus 	 NAFO 5Y 	 . 	 .  	 Tonnes 
Oncorhynchus gorbuscha 	 Utka River, Kamchatka  	 Thousands 	 Thousands 	 . 
Salmo salar 	 Exploits River, Bishop's Falls fishway, Newfoundland, Canada 	 Number of small salmon 	 . 	 .  
Gadus morhua 	 NAFO 4X 	 Thousand tonnes 	 Thousands 	 Tonnes 
Oncorhynchus gorbuscha  	 Central Coast Area 10, B.C.  	 Fish 	 Fish 	 Fish 
Salmo salar 	 Western Arm Brook, Canada 	 Number of Smolt 	 Number of Large Salmon 	 .  
Salmo trutta 	 Black Brows Beck 	 eggs 60 m^-2 	 fish 60 m^-2 	 .  
Pandalus borealis 	 Northern Labrador (Div. 2G)  	 kg/hr 	 . 	 Tonnes 
Salvelinus fontinalis 	 Hell Diver 3 Lake, Sierra Nevada 	 . 	 Numbers 	 .  
Perca flavescens 	 Green Bay, Lake Michigan 	 . 	 Thousands/hour 	 .  
Perca flavescens 	 Leech Lake, Minnesota 	 . 	 catch per hour 	 .  
Salmo salar 	 Conne River, Nfld, CA 	 thousands of smolt 	 thousands of small salmon 	 .  
Sciaenops ocellatus  	 Florida Gulf Coast, USA 	 . 	 Thousands  	 . 
Stizostedion vitreum 	 Lake Erie, New York 	 . 	 numbers of fish per 1000 feet of net 	 .  
Oncorhynchus gorbuscha  	 Upper Skeena, B.C.  	 Fish 	 Fish 	 Fish 
Clupea harengus 	 NAFO 4R (Fall spawners) 	 Tonnes  	 Thousands 	 .  
Squalus acanthias 	 Northwest Atlantic 	 Mean kg per tow 	 Mean numbers per tow 	 .  
Scomber scombrus 	 Black Sea 	 Thousand tonnes 	 Millions 	 Tonnes 
Mallotus villosus 	 Barents Sea 	 Thousand tonnes 	 Index 	 Thousand tonnes 
Melanogrammus aeglefinus 	 Iceland 	 Thousand tonnes 	 Numbers 	 Thousand tonnes 
Oncorhynchus nerka 	 Ayakulik, Kodiak Island, Alaska 	 Thousands of fish 	 Thousands of fish 	 .  
Salmo trutta 	 Wilfin Beck, May/June 	 eggs per 60 m^2 	 fish per 60 m^2 	 .  
Oncorhynchus kisutch 	 Spring Creek, Oregon 	 . 	 Smolts 	 .  
Lepidorhombus boscii 	 ICES VIIIc and IXa 	 Tonnes 	 Thousands 	 Tonnes  
Melanogrammus aeglefinus 	 NAFO 4TVW 	 Thousand tonnes 	 Thousands 	 Tonnes 
Monkfish 	 Lophiiformes 	 SPA 	 Tonnes 	 1  
Hippoglossoides platessoides 	 NAFO 3LNO 	 Tonnes 	 Thousands 	 Tonnes 
Pollachius virens 	 NAFO 4VWX5 	 Thousands tonnes 	 Thousands 	 . 
Oncorhynchus nerka 	 Weaver Creek, B.C. 	 Fish 	 Fish 	 Fish 
Oncorhynchus gorbuscha  	 Dean Channel, B.C.  	 Fish 	 Fish 	 Fish 
Oncorhynchus keta 	 Minter Creek, Washington 	 Females 	 Fry 	 .  
