assessid	 pdfcheck	 pdffilename 
NWFSC-POPERCHPCOAST-1953-2007-BRANCH 	 (pdf file present) 	 NWFSC-POPERCHPCOAST-2007-Pacific ocean perch.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/63
NWFSC-SABLEFPCOAST-1900-2007-BRANCH 	 (pdf file present) 	 NWFSC-SABLEFPCOAST-2007-Sablefish.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/42
NWFSC-WROCKPCOAST-1955-2006-BRANCH 	 (pdf file present) 	 NWFSC-WROCKPCOAST-2007-widow.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/62
NWFSC-YEYEROCKPCOAST-1923-2006-BRANCH 	 (pdf file present) 	 NWFSC-YEYEROCKPCOAST-2007-yelloweye.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/65
WGNSDS-CODIS-1968-2006-MINTO 	 (pdf file present) 	 ICES-WGNSDS-2007.pdf 	 
WGNSDS-CODVIa-1977-2006-MINTO 	 (pdf file present) 	 ICES-WGNSDS-2007.pdf 	 
WGNPBW-BWHITNEA-1980-2007-JENNINGS 	 (pdf file present) 	 ICES-WGNPBW-2007.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/79
WGHMM-SOLEVIII-1982-2006-JENNINGS 	 (pdf file present) 	 ICES-WGHMM-2007.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/54
WGNSDS-SOLEIS-1968-2006-MINTO 	 (pdf file present) 	 ICES-WGNSDS-2007.pdf 	 
WGNSSK-SOLEVIId-1981-2006-MINTO 	 (pdf file present) 	 ICES-WGNSSK-2007.pdf 	 
WGSSDS-SOLECS-1970-2006-JENNINGS 	 (pdf file present) 	 ICES-WGSSDS-2007.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/55
WGSSDS-SOLEVIIe-1968-2006-JENNINGS 	 (pdf file present) 	 ICES-WGSSDS-2007.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/78
WGNSDS-PLAICIS-1962-2006-MINTO 	 (pdf file present) 	 ICES-WGNSDS-2007.pdf 	 
WGSSDS-PLAICCELT-1976-2006-JENNINGS 	 (pdf file present) 	 ICES-WGSSDS-2007.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/51
WGSSDS-PLAICECHW-1975-2006-JENNINGS 	 (pdf file present) 	 ICES-WGSSDS-2007.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/52
WGNSDS-HADVIa-1977-2006-MINTO 	 (pdf file present) 	 ICES-WGNSDS-2007.pdf 	 
HAWG-HERRNIRS-1960-2006-JENNINGS 	 (pdf file present) 	 ICES-HAWG-2007.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/77
HAWG-HERRVIa-1957-2006-MINTO 	 (pdf file present) 	 ICES-HAWG-2007.pdf 	 
HAWG-HERRVIaVIIbc-1969-2000-MINTO 	 (pdf file present) 	 ICES-HAWG-2007.pdf 	 
WGSSDS-WHITVIIek-1982-2007-JENNINGS 	 (pdf file present) 	 ICES-WGSSDS-2007.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/81
NWWG-CODFAPL-1959-2006-MINTO 	 (pdf file present) 	 ICES-NWWG-2007.pdf 	 
NWWG-HADFAPL-1955-2007-MINTO 	 (pdf file present) 	 ICES-NWWG-2007.pdf 	 
NWWG-POLLFAPL-1958-2006-MINTO 	 (pdf file present) 	 ICES-NWWG-2007.pdf 	 
DFO-PAC-ESOLEHS-1944-2001-COLLIE 	 (pdf file present) 	 Flat99.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/106
DFO-PAC-PCODHS-1956-2005-COLLIE 	 (pdf file present) 	 RES2005_026_Cod.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/310
DFO-PAC-PCODWCVANI-1956-2002-COLLIE 	 (pdf file present) 	 2002-113.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/311
DFO-PAC-HERRCC-1951-2007-COLLIE 	 (pdf file present) 	 RES2007_002_e.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/305
DFO-PAC-HERRPRD-1951-2007-COLLIE 	 (pdf file present) 	 RES2007_002_e.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/306
DFO-PAC-HERRQCI-1951-2007-COLLIE 	 (pdf file present) 	 RES2007_002_e.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/307
DFO-PAC-HERRSOG-1951-2007-COLLIE 	 (pdf file present) 	 RES2007_002_e.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/308
DFO-PAC-HERRWCVANI-1951-2007-COLLIE 	 (pdf file present) 	 RES2007_002_e.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/309
DFO-PAC-RSOLEHSTR-1945-2001-COLLIE 	 (pdf file present) 	 Flat99.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/107
SEFSC-GAGGM-1963-2004-JENSEN 	 (pdf file MISSING!) 	 JENSEN_GAGGM_2007.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/18
SEFSC-MENATGM-1964-2004-GILROY 	 (pdf file present) 	 GILROY-MENHADENGM-2007.pdf 	 
WGHMM-FMEG8c9a-1986-2006-JENNINGS 	 (pdf file present) 	 ICES-WGHMM-2007.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/49
WGHMM-MEG8c9a-1985-2007-JENNINGS 	 (pdf file present) 	 ICES-WGHMM-2007.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/50
NWWG-CODICE-1952-2006-MINTO 	 (pdf file present) 	 ICES-NWWG-2007.pdf 	 
NWWG-CAPEICE-1977-2007-MINTO 	 (pdf file present) 	 ICES-NWWG-2007.pdf 	 
NWWG-HADICE-1977-2007-MINTO 	 (pdf file present) 	 ICES-NWWG-2007.pdf 	 
WGBFAS-HERRIsum-1983-2007-JENNINGS 	 (pdf file present) 	 ICES-NWWG-2007.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/47
ICCAT-SWORDMED-1968-2006-JENSEN 	 (pdf file present) 	 ICCAT-Mediterranean-Xiphiasgladius-2007.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/58
NIWA-PINKLINGLIN3-4-1972-2007-JENSEN 	 (pdf file MISSING!) 	 NONE 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/157
