 index   name        value      SD   
     1   sdproc      8.4829e-02 9.8612e-03
     2   slope_pre   7.8643e-04 1.7688e-02
     3   slope_post -1.4942e-02 2.2671e-02
     4   state       7.9352e+00 0.0000e+00
     5   state       7.9360e+00 1.7688e-02
     6   state       8.0299e+00 1.7688e-02
     7   state       7.9431e+00 1.7688e-02
     8   state       7.9346e+00 1.7688e-02
     9   state       8.1303e+00 1.7688e-02
    10   state       8.0964e+00 1.7688e-02
    11   state       8.3477e+00 1.7688e-02
    12   state       8.3826e+00 1.7688e-02
    13   state       8.3935e+00 1.7688e-02
    14   state       8.5158e+00 1.7688e-02
    15   state       8.5988e+00 1.7688e-02
    16   state       8.5677e+00 1.7688e-02
    17   state       8.4888e+00 1.7688e-02
    18   state       8.4790e+00 1.7688e-02
    19   state       8.4772e+00 1.7688e-02
    20   state       8.4512e+00 1.7688e-02
    21   state       8.3095e+00 1.7688e-02
    22   state       8.2764e+00 1.7688e-02
    23   state       8.2918e+00 1.7688e-02
    24   state       8.2664e+00 1.7688e-02
    25   state       8.1385e+00 1.7688e-02
    26   state       8.0955e+00 1.7688e-02
    27   state       8.0138e+00 1.7688e-02
    28   state       7.9384e+00 2.2671e-02
    29   state       7.9454e+00 2.2671e-02
    30   state       8.0610e+00 2.2671e-02
    31   state       8.0870e+00 2.2671e-02
    32   state       8.0181e+00 2.2671e-02
    33   state       7.9613e+00 2.2671e-02
    34   state       7.9814e+00 2.2671e-02
    35   state       7.9827e+00 2.2671e-02
    36   state       7.9692e+00 2.2671e-02
    37   state       7.9520e+00 2.2671e-02
    38   state       8.0043e+00 2.2671e-02
    39   state       7.9857e+00 2.2671e-02
    40   state       7.8861e+00 2.2671e-02
    41   state       7.9088e+00 2.2671e-02
