"area","stockid","areaname","commonname","scientificname","taxocategory"
"NEAtl","PLAICNS","North Sea","European Plaice","Pleuronectes platessa","Pleuronectiformes"
"NEAtl","POLLFAPL","Faroe Plateau","Pollock","Pollachius virens","Gadidae"
"NEAtl","POLLNEAR","North-East Arctic","Pollock","Pollachius virens","Gadidae"
"NEAtl","POLLNS-VI-IIIa","IIIa, VI and North Sea","Pollock","Pollachius virens","Gadidae"
"NEAtl","SARDPVIIIc-IXa","VIIIc-IXa","European pilchard","Sardina pilchardus","Pelagic"
"NEAtl","SOLECS","Celtic Sea","common European sole","Solea vulgaris","Pleuronectiformes"
"NEAtl","SOLEIS","Irish Sea","common European sole","Solea vulgaris","Pleuronectiformes"
"NEAtl","SOLENS","North Sea","common European sole","Solea vulgaris","Pleuronectiformes"
"NEAtl","SOLEVIId","Eastern English Channel","common European sole","Solea vulgaris","Pleuronectiformes"
"NEAtl","SOLEVIIe","Western English Channel","common European sole","Solea vulgaris","Pleuronectiformes"
"NEAtl","SPRAT22-32","Baltic Areas 22-32","Sprat","Sprattus sprattus","Pelagic"
"NEAtl","WHITNS-VIId-IIIa","IIIa, VIId and North Sea","Whiting","Merlangius merlangus","Gadidae"
"NEAtl","WHITVIIek","Celtic Sea","Whiting","Merlangius merlangus","Gadidae"
"NEPac","ALPLAICBSAI","Bering Sea and Aleutian Islands","Alaska plaice","Pleuronectes quadrituberculatus","Pleuronectiformes"
"NEPac","ARFLOUNDBSAI","Bering Sea and Aleutian Islands","Arrowtooth flounder","Reinhardtius stomias","Pleuronectiformes"
"NEPac","ARFLOUNDGA","Gulf of Alaska","Arrowtooth flounder","Reinhardtius stomias","Pleuronectiformes"
"NEPac","ARFLOUNDPCOAST","Pacific Coast","Arrowtooth flounder","Reinhardtius stomias","Pleuronectiformes"
"NEPac","ATKABSAI","Bering Sea and Aleutian Islands","Atka mackerel","Pleurogrammus monopterygius","Other demersal"
"NEPac","BGROCKPCOAST","Pacific Coast","Blackgill rockfish","Sebastes melanostomus","Other demersal"
"NEPac","BLACKROCKNPCOAST","Northern Pacific Coast","Black rockfish","Sebastes melanops","Other demersal"
"NEPac","BLACKROCKSPCOAST","Southern Pacific Coast","Black rockfish","Sebastes melanops","Other demersal"
"NEPac","BLUEROCKCAL","California","Blue rockfish","Sebastes mystinus","Other demersal"
"NEPac","BOCACCSPCOAST","Southern Pacific Coast","Bocaccio","Sebastes paucispinis","Other demersal"
"NEPac","CABEZNCAL","Northern California","Cabezon","Scorpaenichthys marmoratus","Other demersal"
"NEPac","CABEZSCAL","Southern California","Cabezon","Scorpaenichthys marmoratus","Other demersal"
"NEPac","CHILISPCOAST","Southern Pacific Coast","Chilipepper rockfish","Sebastes goodei","Other demersal"
"NEPac","CMACKPCOAST","Pacific Coast","Chub mackerel","Scomber japonicus","Pelagic"
"NEPac","COWCODSCAL","Southern California","Cowcod","Sebastes levis","Other demersal"
"NEPac","CROCKPCOAST","Pacific Coast","Canary rockfish","Sebastes pinniger","Other demersal"
"NEPac","DKROCKPCOAST","Pacific Coast","Darkblotched rockfish","Sebastes crameri","Other demersal"
"NEPac","DSOLEPCOAST","Pacific Coast","Dover sole","Microstomus pacificus","Pleuronectiformes"
"NEPac","DUSROCKGA","Gulf of Alaska","Dusky rockfish","Sebastes variabilis","Other demersal"
"NEPac","ESOLEPCOAST","Pacific Coast","English sole","Parophrys vetulus","Pleuronectiformes"
"NEPac","FLSOLEBSAI","Bering Sea and Aleutian Islands","Flathead sole","Hippoglossoides elassodon","Pleuronectiformes"
"NEPac","GHALBSAI","Bering Sea and Aleutian Islands","Greenland halibut","Reinhardtius hippoglossoides","Pleuronectiformes"
"NEPac","GOPHERSPCOAST","Southern Pacific Coast","Gopher rockfish","Sebastes carnatus","Other demersal"
"NEPac","HERRCC","Central Coast","Pacific herring","Clupea pallasii","Pelagic"
"NEPac","HERRPRD","Prince Rupert District","Pacific herring","Clupea pallasii","Pelagic"
"NEPac","HERRPWS","Prince William Sound","Pacific herring","Clupea pallasii","Pelagic"
"NEPac","HERRQCI","Queen Charlotte Islands","Pacific herring","Clupea pallasii","Pelagic"
"NEPac","HERRSITKA","Sitka","Pacific herring","Clupea pallasii","Pelagic"
"NEPac","HERRSOG","Straight of Georgia","Pacific herring","Clupea pallasii","Pelagic"
"NEPac","HERRWCVANI","West Coast of Vancouver Island","Pacific herring","Clupea pallasii","Pelagic"
"NEPac","KELPGREENLINGORECOAST","Oregon Coast","Kelp greenling","Hexagrammos decagrammus","Other demersal"
"NEPac","LINGCODNPCOAST","Northern Pacific Coast","Lingcod","Ophiodon elongatus","Other demersal"
"NEPac","LINGCODSPCOAST","Southern Pacific Coast","Lingcod","Ophiodon elongatus","Other demersal"
"NEPac","LNOSESKAPCOAST","Pacific Coast","Longnose skate","Raja rhina","Shark/Skate"
"NEPac","LSTHORNHPCOAST","Pacific Coast","Longspine thornyhead","Sebastolobus altivelis","Other demersal"
