"","mgmt","stock","scientificname","assessmethod","timespan","currentyear","Bratio","bfromassessment","Uratio","ufromassessment"
"95","IATTC","Yellowfin tuna Eastern Pacific","\textit{Thunnus albacares}","Statistical catch at age model","1975-2007",NA,NA,NA,NA,NA
"94","IATTC","Bigeye tuna Eastern Pacific","\textit{Thunnus obesus}","Integrated Analysis","1975-2007",NA,NA,NA,NA,NA
"100","ICCAT","Skipjack tuna Eastern Atlantic","\textit{Katsuwonus pelamis}","Biomass dynamics model","1950-2006",2006,1.7100803580272,"no",0.270376933906668,"yes"
"101","ICCAT","Skipjack tuna Western Atlantic","\textit{Katsuwonus pelamis}","Biomass dynamics model","1952-2006",2006,1.71933340324816,"no",0.323252454415775,"yes"
"96","ICCAT","Albacore tuna North Atlantic","\textit{Thunnus alalunga}","VPA","1929-2005",2005,0.812874251497006,"yes",1.48950276243094,"yes"
"105","ICCAT","Yellowfin tuna Atlantic","\textit{Thunnus albacares}","VPA","1970-2006",2006,1.06856875686941,"yes",0.809722127398102,"yes"
"99","ICCAT","Bigeye tuna Atlantic","\textit{Thunnus obesus}","Biomass dynamics model","1950-2005",2005,0.900007322544784,"no",0.870646766169154,"yes"
"97","ICCAT","Bluefin tuna Eastern Atlantic","\textit{Thunnus thynnus}","VPA","1969-2007",2007,0.335605633632410,"yes",9.38087125608202,"yes"
"98","ICCAT","Bluefin tuna Western Atlantic","\textit{Thunnus thynnus}","VPA","1969-2007",2007,0.57387113810404,"yes",1.32666666666667,"yes"
"102","ICCAT","Swordfish Mediterranean Sea","\textit{Xiphias gladius}","Biomass dynamics model","1968-2006",2006,0.93776641091219,"yes",1.26570048309179,"yes"
"103","ICCAT","Swordfish North Atlantic","\textit{Xiphias gladius}","Biomass dynamics model","1978-2007",2005,0.989979746408152,"yes",0.875481386392811,"yes"
"104","ICCAT","Swordfish South Atlantic","\textit{Xiphias gladius}","Biomass dynamics model","1970-2005",2005,1.53951595630756,"yes",0.49438202247191,"yes"
"318","ICES","Sandeel North Sea","\textit{Ammodytes marinus}","VPA","1983-2007",2007,0.919012087669737,"no",0.235719714284350,"no"
"88","ICES","Herring ICES 22-24-IIIa","\textit{Clupea harengus}","Statistical catch at age model","1991-2006",NA,NA,NA,NA,NA
"89","ICES","Herring Northern Irish Sea","\textit{Clupea harengus}","Statistical catch at age model","1960-2006",2006,0.720034098133272,"no",0.336658934516958,"no"
"90","ICES","Herring North Sea","\textit{Clupea harengus}","Statistical catch at age model","1960-2007",2006,0.65299664257668,"no",1.31808340876710,"no"
"91","ICES","Herring ICES VIa","\textit{Clupea harengus}","Statistical catch at age model","1957-2006",2006,0.179489914662529,"no",1.58857708136905,"no"
"92","ICES","Herring ICES VIa-VIIb-VIIc","\textit{Clupea harengus}","VPA","1969-2000",2000,0.495566942459571,"no",1.04178991366544,"no"
"287","ICES","Herring ICES 25-32","\textit{Clupea harengus}","VPA","1973-2006",2006,0.68661268018773,"no",0.786441357168947,"no"
"288","ICES","Herring ICES 30","\textit{Clupea harengus}","VPA","1972-2007",2006,1.19312880558138,"no",1.10052282708793,"no"
"289","ICES","Herring ICES 31","\textit{Clupea harengus}","VPA","1979-2006",2006,0.285818848535577,"no",1.60201271628018,"no"
"290","ICES","Herring Iceland (Summer spawners)","\textit{Clupea harengus}","VPA","1983-2007",2006,1.00000103627050,"no",0.790094284078096,"no"
"291","ICES","Herring ICES 28","\textit{Clupea harengus}","VPA","1976-2007",2006,1.20823578488545,"no",0.873536221148056,"no"
"299","ICES","Anchovy ICES VIII","\textit{Engraulis encrasicolus}","Biomass dynamics model","1986-2007",NA,NA,NA,NA,NA
"36","ICES","Atlantic cod coastal Norway","\textit{Gadus morhua}","VPA","1982-2006",2006,0.273934584229171,"no",2.16996074990954,"no"
"37","ICES","Atlantic cod Northeast Arctic","\textit{Gadus morhua}","VPA","1943-2006",2006,0.561596122977197,"no",1.42388576466740,"no"
"205","ICES","Atlantic cod Faroe Plateau","\textit{Gadus morhua}","VPA","1959-2006",2006,0.256108194535902,"no",1.52224096790067,"no"
"206","ICES","Atlantic cod Iceland","\textit{Gadus morhua}","Statistical catch at age model","1952-2006",2006,0.457627118644068,"no",1.16671302267516,"no"
"284","ICES","Atlantic cod Baltic Areas 22 and 24","\textit{Gadus morhua}","VPA","1969-2007",2006,0.364263763737695,"no",1.42883149384782,"no"
"285","ICES","Atlantic cod Baltic Areas 25-32","\textit{Gadus morhua}","VPA","1964-2007",2006,0.164751222372490,"no",1.45610498581687,"no"
"286","ICES","Atlantic cod Kattegat","\textit{Gadus morhua}","VPA","1970-2006",2006,0.187796520822351,"no",0.314303078454419,"no"
"303","ICES","Atlantic cod Irish Sea","\textit{Gadus morhua}","VPA","1968-2006",2006,0.151011346653752,"no",0.559128262831843,"no"
"304","ICES","Atlantic cod West of Scotland","\textit{Gadus morhua}","Statistical catch at age model","1977-2006",2006,0.119145274581060,"no",0.419315063565344,"no"
"310","ICES","Atlantic cod North Sea","\textit{Gadus morhua}","VPA","1962-2007",2006,0.187052484562661,"no",0.801403020199923,"no"
"294","ICES","Fourspotted megrim ICES VIIIc-IXa","\textit{Lepidorhombus boscii}","VPA","1986-2006",2006,0.703067932797663,"no",1.01233441883487,"no"
"297","ICES","Megrim ICES VIIIc-IXa","\textit{Lepidorhombus whiffiagonis}","VPA","1985-2007",2006,0.42673434856176,"no",1.07147818196174,"no"
"35","ICES","Capelin Barents Sea","\textit{Mallotus villosus}","Unknown","1965-2007",2006,0.173449863951465,"no",0,"no"
