# number of observations	
24
# Bound on K - ln(X*max(biomass))
20
# observed X values       	 observed Y values
15607.0	41259.0
15161.0	32155.0
12211.0	26390.0
12422.0	23994.0
10526.0	25120.0
9340.0	23292.0
9806.0	23711.0
12211.0	32891.0
17960.0	41966.0
20695.0	32269.0
11546.0	22294.0
9461.0	21043.0
9151.0	19804.0
7715.0	20362.0
8219.0	18000.0
5774.0	15877.0
5233.0	17701.0
5027.0	19798.0
6297.0	21865.0
8749.0	29135.0
6950.0	30024.0
7647.0	28078.0
5537.0	29208.0
0.0	38085.0
