assessid,commonname1,scientificname,family,tsyear,total,total_unit,ssb,ssb_unit
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1906,463652,MT,244418,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1907,463347,MT,244253,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1908,462993,MT,244059,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1909,462591,MT,243838,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1910,462144,MT,243591,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1911,461654,MT,243318,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1912,461121,MT,243020,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1913,460547,MT,242700,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1914,459934,MT,242356,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1915,459284,MT,241990,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1916,458597,MT,241604,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1917,457875,MT,241197,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1918,457120,MT,240771,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1919,456332,MT,240326,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1920,455513,MT,239862,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1921,454664,MT,239382,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1922,453785,MT,238885,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1923,452879,MT,238372,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1924,451946,MT,237843,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1925,450987,MT,237300,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1926,450002,MT,236742,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1927,448994,MT,236170,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1928,447962,MT,235585,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1929,446907,MT,234987,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1930,445831,MT,234377,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1931,444734,MT,233755,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1932,443616,MT,233121,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1933,442479,MT,232476,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1934,441007,MT,231666,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1935,439228,MT,230694,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1936,437158,MT,229560,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1937,436045,MT,228877,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1938,434907,MT,228200,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1939,434045,MT,227672,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1940,432968,MT,227058,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1941,432278,MT,226640,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1942,431745,MT,226322,MT
