"","assessid","stockid","common_name","lme","year","ssb","ssb_unit","recruitment","recruitment_unit"
"44","ADFG-HERRSITKA-1978-2007-COLLIE","HERRSITKA","Pacific herring","Gulf of Alaska",1994,28264.2,"MT",311420,"E03"
"45","ADFG-HERRSITKA-1978-2007-COLLIE","HERRSITKA","Pacific herring","Gulf of Alaska",1995,32123.1,"MT",233950,"E03"
"46","ADFG-HERRSITKA-1978-2007-COLLIE","HERRSITKA","Pacific herring","Gulf of Alaska",1996,34864.16,"MT",85730,"E03"
"47","ADFG-HERRSITKA-1978-2007-COLLIE","HERRSITKA","Pacific herring","Gulf of Alaska",1997,39758.82,"MT",218400,"E03"
"48","ADFG-HERRSITKA-1978-2007-COLLIE","HERRSITKA","Pacific herring","Gulf of Alaska",1998,41794.53,"MT",313230,"E03"
"49","ADFG-HERRSITKA-1978-2007-COLLIE","HERRSITKA","Pacific herring","Gulf of Alaska",1999,51877.03,"MT",470510,"E03"
"50","ADFG-HERRSITKA-1978-2007-COLLIE","HERRSITKA","Pacific herring","Gulf of Alaska",2000,54283.03,"MT",244500,"E03"
"51","ADFG-HERRSITKA-1978-2007-COLLIE","HERRSITKA","Pacific herring","Gulf of Alaska",2001,70414.73,"MT",156650,"E03"
"52","ADFG-HERRSITKA-1978-2007-COLLIE","HERRSITKA","Pacific herring","Gulf of Alaska",2002,58172.91,"MT",146020,"E03"
"53","ADFG-HERRSITKA-1978-2007-COLLIE","HERRSITKA","Pacific herring","Gulf of Alaska",2003,72198.84,"MT",109680,"E03"
"54","ADFG-HERRSITKA-1978-2007-COLLIE","HERRSITKA","Pacific herring","Gulf of Alaska",2004,87794.21,"MT",114380,"E03"
"55","ADFG-HERRSITKA-1978-2007-COLLIE","HERRSITKA","Pacific herring","Gulf of Alaska",2005,85901.66,"MT",NA,"E03"
"56","ADFG-HERRSITKA-1978-2007-COLLIE","HERRSITKA","Pacific herring","Gulf of Alaska",2006,84923.03,"MT",NA,"E03"
"57","ADFG-HERRSITKA-1978-2007-COLLIE","HERRSITKA","Pacific herring","Gulf of Alaska",2007,82880.44,"MT",NA,"E03"
"58","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK","ALPLAICBSAI","Alaska plaice","East Bering Sea",1972,NA,"MT",2101000,"E03"
"59","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK","ALPLAICBSAI","Alaska plaice","East Bering Sea",1973,NA,"MT",3630000,"E03"
"60","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK","ALPLAICBSAI","Alaska plaice","East Bering Sea",1974,NA,"MT",1922000,"E03"
"61","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK","ALPLAICBSAI","Alaska plaice","East Bering Sea",1975,172125,"MT",1896000,"E03"
"62","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK","ALPLAICBSAI","Alaska plaice","East Bering Sea",1976,208732,"MT",1831000,"E03"
"63","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK","ALPLAICBSAI","Alaska plaice","East Bering Sea",1977,247863,"MT",1327000,"E03"
"64","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK","ALPLAICBSAI","Alaska plaice","East Bering Sea",1978,281912,"MT",1495000,"E03"
"65","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK","ALPLAICBSAI","Alaska plaice","East Bering Sea",1979,308075,"MT",1445000,"E03"
"66","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK","ALPLAICBSAI","Alaska plaice","East Bering Sea",1980,337365,"MT",1532000,"E03"
"67","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK","ALPLAICBSAI","Alaska plaice","East Bering Sea",1981,370607,"MT",692000,"E03"
"68","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK","ALPLAICBSAI","Alaska plaice","East Bering Sea",1982,411737,"MT",772000,"E03"
"69","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK","ALPLAICBSAI","Alaska plaice","East Bering Sea",1983,443838,"MT",1339000,"E03"
"70","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK","ALPLAICBSAI","Alaska plaice","East Bering Sea",1984,469901,"MT",877000,"E03"
"71","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK","ALPLAICBSAI","Alaska plaice","East Bering Sea",1985,476423,"MT",1099000,"E03"
"72","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK","ALPLAICBSAI","Alaska plaice","East Bering Sea",1986,468456,"MT",1727000,"E03"
"73","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK","ALPLAICBSAI","Alaska plaice","East Bering Sea",1987,451535,"MT",883000,"E03"
"74","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK","ALPLAICBSAI","Alaska plaice","East Bering Sea",1988,432878,"MT",1295000,"E03"
"75","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK","ALPLAICBSAI","Alaska plaice","East Bering Sea",1989,404037,"MT",912000,"E03"
"76","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK","ALPLAICBSAI","Alaska plaice","East Bering Sea",1990,387198,"MT",1526000,"E03"
"77","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK","ALPLAICBSAI","Alaska plaice","East Bering Sea",1991,369813,"MT",1034000,"E03"
"78","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK","ALPLAICBSAI","Alaska plaice","East Bering Sea",1992,350450,"MT",1131000,"E03"
"79","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK","ALPLAICBSAI","Alaska plaice","East Bering Sea",1993,333477,"MT",652000,"E03"
"80","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK","ALPLAICBSAI","Alaska plaice","East Bering Sea",1994,323936,"MT",785000,"E03"
"81","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK","ALPLAICBSAI","Alaska plaice","East Bering Sea",1995,318627,"MT",825000,"E03"
"82","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK","ALPLAICBSAI","Alaska plaice","East Bering Sea",1996,310472,"MT",1073000,"E03"
"83","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK","ALPLAICBSAI","Alaska plaice","East Bering Sea",1997,307622,"MT",1259000,"E03"
"84","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK","ALPLAICBSAI","Alaska plaice","East Bering Sea",1998,300812,"MT",1679000,"E03"
"85","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK","ALPLAICBSAI","Alaska plaice","East Bering Sea",1999,300783,"MT",1886000,"E03"
"86","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK","ALPLAICBSAI","Alaska plaice","East Bering Sea",2000,295967,"MT",3769000,"E03"
"87","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK","ALPLAICBSAI","Alaska plaice","East Bering Sea",2001,292180,"MT",4080000,"E03"
"88","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK","ALPLAICBSAI","Alaska plaice","East Bering Sea",2002,284077,"MT",850000,"E03"
"89","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK","ALPLAICBSAI","Alaska plaice","East Bering Sea",2003,275286,"MT",722000,"E03"
"90","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK","ALPLAICBSAI","Alaska plaice","East Bering Sea",2004,267245,"MT",397000,"E03"
"91","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK","ALPLAICBSAI","Alaska plaice","East Bering Sea",2005,265295,"MT",681000,"E03"
"92","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK","ALPLAICBSAI","Alaska plaice","East Bering Sea",2006,268379,"MT",NA,"E03"
"93","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK","ALPLAICBSAI","Alaska plaice","East Bering Sea",2007,284426,"MT",NA,"E03"
"94","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK","ALPLAICBSAI","Alaska plaice","East Bering Sea",2008,318176,"MT",NA,"E03"
"95","AFSC-ARFLOUNDBSAI-1970-2008-STANTON","ARFLOUNDBSAI","Arrowtooth flounder","East Bering Sea",1970,NA,"MT",NA,"E03"
"96","AFSC-ARFLOUNDBSAI-1970-2008-STANTON","ARFLOUNDBSAI","Arrowtooth flounder","East Bering Sea",1971,NA,"MT",NA,"E03"
"97","AFSC-ARFLOUNDBSAI-1970-2008-STANTON","ARFLOUNDBSAI","Arrowtooth flounder","East Bering Sea",1972,NA,"MT",59880,"E03"
"98","AFSC-ARFLOUNDBSAI-1970-2008-STANTON","ARFLOUNDBSAI","Arrowtooth flounder","East Bering Sea",1973,NA,"MT",160110,"E03"
"99","AFSC-ARFLOUNDBSAI-1970-2008-STANTON","ARFLOUNDBSAI","Arrowtooth flounder","East Bering Sea",1974,NA,"MT",207800,"E03"
"100","AFSC-ARFLOUNDBSAI-1970-2008-STANTON","ARFLOUNDBSAI","Arrowtooth flounder","East Bering Sea",1975,NA,"MT",165450,"E03"
"101","AFSC-ARFLOUNDBSAI-1970-2008-STANTON","ARFLOUNDBSAI","Arrowtooth flounder","East Bering Sea",1976,158781,"MT",170970,"E03"
"102","AFSC-ARFLOUNDBSAI-1970-2008-STANTON","ARFLOUNDBSAI","Arrowtooth flounder","East Bering Sea",1977,157687,"MT",171910,"E03"
"103","AFSC-ARFLOUNDBSAI-1970-2008-STANTON","ARFLOUNDBSAI","Arrowtooth flounder","East Bering Sea",1978,167314,"MT",396960,"E03"
"104","AFSC-ARFLOUNDBSAI-1970-2008-STANTON","ARFLOUNDBSAI","Arrowtooth flounder","East Bering Sea",1979,174482,"MT",153870,"E03"
"105","AFSC-ARFLOUNDBSAI-1970-2008-STANTON","ARFLOUNDBSAI","Arrowtooth flounder","East Bering Sea",1980,173514,"MT",125470,"E03"
"106","AFSC-ARFLOUNDBSAI-1970-2008-STANTON","ARFLOUNDBSAI","Arrowtooth flounder","East Bering Sea",1981,173256,"MT",367370,"E03"
"107","AFSC-ARFLOUNDBSAI-1970-2008-STANTON","ARFLOUNDBSAI","Arrowtooth flounder","East Bering Sea",1982,177675,"MT",254770,"E03"
"108","AFSC-ARFLOUNDBSAI-1970-2008-STANTON","ARFLOUNDBSAI","Arrowtooth flounder","East Bering Sea",1983,187094,"MT",213060,"E03"
"109","AFSC-ARFLOUNDBSAI-1970-2008-STANTON","ARFLOUNDBSAI","Arrowtooth flounder","East Bering Sea",1984,194330,"MT",695500,"E03"
"110","AFSC-ARFLOUNDBSAI-1970-2008-STANTON","ARFLOUNDBSAI","Arrowtooth flounder","East Bering Sea",1985,213962,"MT",379370,"E03"
"111","AFSC-ARFLOUNDBSAI-1970-2008-STANTON","ARFLOUNDBSAI","Arrowtooth flounder","East Bering Sea",1986,240468,"MT",384140,"E03"
"112","AFSC-ARFLOUNDBSAI-1970-2008-STANTON","ARFLOUNDBSAI","Arrowtooth flounder","East Bering Sea",1987,256850,"MT",252090,"E03"
"113","AFSC-ARFLOUNDBSAI-1970-2008-STANTON","ARFLOUNDBSAI","Arrowtooth flounder","East Bering Sea",1988,276549,"MT",260560,"E03"
"114","AFSC-ARFLOUNDBSAI-1970-2008-STANTON","ARFLOUNDBSAI","Arrowtooth flounder","East Bering Sea",1989,289764,"MT",300190,"E03"
"115","AFSC-ARFLOUNDBSAI-1970-2008-STANTON","ARFLOUNDBSAI","Arrowtooth flounder","East Bering Sea",1990,312459,"MT",228500,"E03"
"116","AFSC-ARFLOUNDBSAI-1970-2008-STANTON","ARFLOUNDBSAI","Arrowtooth flounder","East Bering Sea",1991,343049,"MT",274070,"E03"
"117","AFSC-ARFLOUNDBSAI-1970-2008-STANTON","ARFLOUNDBSAI","Arrowtooth flounder","East Bering Sea",1992,383001,"MT",354390,"E03"
"118","AFSC-ARFLOUNDBSAI-1970-2008-STANTON","ARFLOUNDBSAI","Arrowtooth flounder","East Bering Sea",1993,426976,"MT",464830,"E03"
