"assessid","stockid","stocklong","scientificname","lme_name","bioid","biovalue","type.x","msy","type.y"
"CSERG-ANCHOVYKILKACS-1991-2007-JENSEN","ANCHOVYKILKACS","Anchovy kilka Caspian Sea","Clupeonella engrauliformis","Caspian Sea","MSY-MT","44652","assessment",NA,NA
"CSIRO-BIGHTREDSE-1958-2007-FULTON","BIGHTREDSE","Bight redfish Southeast Australia","Centroberyx gerrardi","Southwest Australian Shelf",NA,NA,NA,NA,NA
"CSIRO-BTSHRIMPNAUST-1970-2006-FULTON","BTSHRIMPNAUST","Northern Australia brown tiger shrimp","Penaeus esculentus","North Australian Shelf",NA,NA,NA,NA,NA
"CSIRO-DEEPFLATHEADSE-1978-2007-FULTON","DEEPFLATHEADSE","Deepwater flathead Southeast Australia","Platycephalus conatus","Southwest Australian Shelf",NA,NA,NA,1286.78224824693,"Schaefer"
"CSIRO-GEMFISHSE-1966-2007-FULTON","GEMFISHSE","common gemfish Southeast Australia","Rexea solandri","Southeast Australian Shelf",NA,NA,NA,2651.02066120831,"Schaefer"
"CSIRO-GTPRAWNNAUST-1970-2006-FULTON","GTPRAWNNAUST","Northern Australia grooved Tiger Prawn","Penaeus esculentus","North Australian Shelf",NA,NA,NA,NA,NA
"CSIRO-MORWONGSE-1913-2007-FULTON","MORWONGSE","Jackass morwong Southeast Australia","Nemadactylus macropterus","Southeast Australian Shelf",NA,NA,NA,866.619490654764,"Schaefer"
"CSIRO-NZLINGESE-1968-2007-FULTON","NZLINGESE","New Zealand ling Eastern half of Southeast Australia","Genypterus blacodes","Southeast Australian Shelf",NA,NA,NA,560.651780118779,"Schaefer"
"CSIRO-NZLINGWSE-1968-2007-FULTON","NZLINGWSE","New Zealand ling Western half of Southeast Australia","Genypterus blacodes","Southwest Australian Shelf",NA,NA,NA,NA,NA
"CSIRO-OROUGHYCASCADE-1987-2006-FULTON","OROUGHYCASCADE","Orange roughy Cascade Plateau","Hoplostethus atlanticus","Southeast Australian Shelf",NA,NA,NA,NA,NA
"CSIRO-OROUGHYSE-1978-2007-FULTON","OROUGHYSE","Orange roughy Southeast Australia","Hoplostethus atlanticus","Southeast Australian Shelf",NA,NA,NA,2964.90419815239,"Schaefer"
"CSIRO-PTOOTHFISHMI-1975-2010-FAY","PTOOTHFISHMI","Patagonian toothfish Macquarie Island","Dissostichus eleginoides","Subantarctic High Seas","MSY-MT","184.369","assessment",NA,NA
"CSIRO-SILVERFISHSE-1978-2006-FULTON","SILVERFISHSE","Silverfish Southeast Australia","Seriolella punctata","Southeast Australian Shelf",NA,NA,NA,2832.17430133151,"Schaefer"
"CSIRO-SWHITSE-1945-2007-FULTON","SWHITSE","School whiting Southeast Australia","Sillago flindersi","Southeast Australian Shelf",NA,NA,NA,1692.39506015239,"Schaefer"
"CSIRO-TIGERFLATSE-1913-2006-FULTON","TIGERFLATSE","Tiger flathead Southeast Australia","Neoplatycephalus richardsoni","Southeast Australian Shelf",NA,NA,NA,2873.25266566218,"Schaefer"
"CSIRO-WAREHOUESE-1984-2006-FULTON","WAREHOUESE","Blue Warehou Eastern half of Southeast Australia","Seriolella brama","Southeast Australian Shelf",NA,NA,NA,1194.16204401559,"Schaefer"
"CSIRO-WAREHOUWSE-1984-2006-FULTON","WAREHOUWSE","Blue Warehou Western half of Southeast Australia","Seriolella brama","Southwest Australian Shelf",NA,NA,NA,471.53814491524,"Schaefer"
"DFO-COD5Zjm-1978-2003-PREFONTAINE","COD5Zjm","Atlantic cod NAFO 5Zjm","Gadus morhua","Northeast U.S. Continental Shelf",NA,NA,NA,8879.49531078479,"Schaefer"
"DFO-HAD5Zejm-1968-2003-PREFONTAINE","HAD5Zejm","Haddock NAFO-5Zejm","Melanogrammus aeglefinus","Northeast U.S. Continental Shelf",NA,NA,NA,NA,NA
"DFO-HERR4VWX-1964-2006-PREFONTAINE","HERR4VWX","Herring Scotian Shelf and Bay of Fundy","Clupea harengus","Scotian Shelf",NA,NA,NA,NA,NA
"DFO-MAR-COD4VsW-1958-2002-PREFONTAINE","COD4VsW","Atlantic cod NAFO 4VsW","Gadus morhua","Scotian Shelf",NA,NA,NA,NA,NA
"DFO-MAR-CUSK4X-1970-2007-RICARD","CUSK4X","Cusk NAFO 4X","Brosme brosme","Northeast U.S. Continental Shelf","MSY-MT","1482.925","assessment",NA,NA
"DFO-MAR-HAD4X5Y-1960-2003-PREFONTAINE","HAD4X5Y","Haddock NAFO-4X5Y","Melanogrammus aeglefinus","Northeast U.S. Continental Shelf",NA,NA,NA,NA,NA
"DFO-NFLD-COD2J3KL-1850-2005-RICARD","COD2J3KL","Atlantic cod NAFO 2J3KL","Gadus morhua","Newfoundland-Labrador Shelf",NA,NA,NA,NA,NA
"DFO-NFLD-COD2J3KLIS-1959-2006-PREFONTAINE","COD2J3KLIS","Atlantic cod NAFO 2J3KL inshore","Gadus morhua","Newfoundland-Labrador Shelf",NA,NA,NA,NA,NA
"DFO-NFLD-COD3Ps-1959-2004-PREFONTAINE","COD3Ps","Atlantic cod NAFO 3Ps","Gadus morhua","Newfoundland-Labrador Shelf",NA,NA,NA,40014.6133448802,"Schaefer"
"DFO-PAC-ESOLEHS-1944-2001-COLLIE","ESOLEHS","English sole Hecate Strait","Parophrys vetulus","Gulf of Alaska",NA,NA,NA,913.880665481918,"Schaefer"
"DFO-PAC-HERRCC-1951-2007-COLLIE","HERRCC","Pacific herring Central Coast","Clupea pallasii","Gulf of Alaska",NA,NA,NA,11828.8885412316,"Schaefer"
"DFO-PAC-HERRPRD-1951-2007-COLLIE","HERRPRD","Pacific herring Prince Rupert District","Clupea pallasii","Gulf of Alaska",NA,NA,NA,18229.564897519,"Schaefer"
