"assessid","stockid","stocklong","issueurl","notes"
"WGBFAS-SPRAT22-32-1973-2007-JENNINGS","SPRAT22-32","Sprat ICES Baltic Areas 22-32","http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/35",""
"NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH","BLACKROCKSPCOAST","Black rockfish Southern Pacific Coast","http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/37",""
"NWFSC-BLACKROCKNPCOAST-1914-2006-BRANCH","BLACKROCKNPCOAST","Black rockfish Northern Pacific Coast","http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/38",""
"NWFSC-BLUEROCKCAL-1916-2007-BRANCH","BLUEROCKCAL","Blue rockfish California","http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/39",""
"NWFSC-COWCODSCAL-1900-2007-BRANCH","COWCODSCAL","Cowcod Southern California","http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/40",""
"NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH","LNOSESKAPCOAST","Longnose skate Pacific Coast","http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/41",""
"NWFSC-SABLEFPCOAST-1900-2007-BRANCH","SABLEFPCOAST","Sablefish Pacific Coast","http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/42",""
"NWFSC-DKROCKPCOAST-1928-2007-BRANCH","DKROCKPCOAST","Darkblotched rockfish Pacific Coast","http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/43",""
"WGMHSA-ANCHOBAYB-1986-2007-JENNINGS","ANCHOBAYB","Anchovy ICES VIII","http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/44",""
"WGSSDS-HADVIIb-k-1993-2006-JENNINGS","HADVIIb-k","Haddock ICES VIIb-k","http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/46",""
