                     assessid                     |                              stocklong                               | fpercentreduction 
 DFO-PAC-HERRQCI-1951-2007-COLLIE                 | Pacific herring Queen Charlotte Islands                              |               100
 DFO-PAC-HERRSOG-1951-2007-COLLIE                 | Pacific herring Straight of Georgia                                  |  99.5759117896523
 DFO-PAC-HERRWCVANI-1951-2007-COLLIE              | Pacific herring West Coast of Vancouver Island                       |               100
 DFO-POLL4VWX5Zc-1974-2007-PREFONTAINE            | Pollock NAFO-4VWX5Zc                                                 |  92.3444976076555
 DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE          | Atlantic cod NAFO 3Pn4RS                                             |  98.8826815642458
 DFO-QUE-HERR4RFA-1973-2003-PREFONTAINE           | Herring NAFO 4R fall spawners                                        |  80.4878048780488
 DFO-SG-COD4TVn-1965-2007-PREFONTAINE             | Atlantic cod NAFO 4TVn                                               |               100
 HAWG-HERR2224IIIa-1991-2006-MINTO                | Herring ICES 22-24-IIIa                                              |  45.6126687435099
 HAWG-HERRNIRS-1960-2006-JENNINGS                 | Herring Northern Irish Sea                                           |  71.9340054995417
 HAWG-HERRNS-1960-2007-MINTO                      | Herring North Sea                                                    |  96.3886617606977
 HAWG-HERRVIa-1957-2006-MINTO                     | Herring ICES VIa                                                     |  99.9622961636347
 HAWG-HERRVIaVIIbc-1969-2000-MINTO                | Herring ICES VIa-VIIb-VIIc                                           |  54.1045895410459
 ICCAT-ALBANATL-1929-2005-WORM                    | Albacore tuna North Atlantic                                         |  56.8081991215227
 ICCAT-ATBTUNAEATL-1979-2007-WORM                 | Bluefin tuna Eastern Atlantic                                        |  68.5340802987862
 ICCAT-ATBTUNAWATL-1969-2007-WORM                 | Bluefin tuna Western Atlantic                                        |  50.8599508599509
 ICCAT-BIGEYEATL-1950-2005-JENSEN                 | Bigeye tuna Atlantic                                                 |  42.6229508196721
 ICCAT-SWORDNATL-1978-2007-JENSEN                 | Swordfish North Atlantic                                             |             45.44
 ICCAT-YFINATL-1970-2006-JENSEN                   | Yellowfin tuna Atlantic                                              |  34.4692737430168
 INIDEP-ARGHAKENARG-1985-2007-Parma               | Argentine hake Northern Argentina                                    |  67.6150835559421
 INIDEP-ARGHAKESARG-1985-2008-Parma               | Argentine hake Southern Argentina                                    |  47.8391959798995
 IOTC-BIGEYEIO-1957-2006-JENSEN                   | Bigeye tuna Indian Ocean                                             |  21.5667618141453
 MARAM-ANCHOSA-1984-2006-deMoor                   | Anchovy South Africa                                                 |  81.4814814814815
 MARAM-CRLOBSTERSA12-1910-2008-Johnston           | South African west coast rock lobster South Africa Areas 1-2         |  50.7936507936508
 MARAM-CRLOBSTERSA34-1910-2008-Johnston           | South African west coast rock lobster South Africa Areas 3-4         |  65.7142857142857
 MARAM-CRLOBSTERSA56-1910-2008-Johnston           | South African west coast rock lobster South Africa Areas 5-6         |  38.2978723404255
 MARAM-CRLOBSTERSA7-1910-2008-Johnston            | South African west coast rock lobster South Africa Area 7            |  69.6969696969697
 MARAM-CRLOBSTERSA8-1910-2008-Johnston            | South African west coast rock lobster South Africa Area 8            |  45.7516339869281
 MARAM-CTRACSA-1950-2007-Johnston                 | Cape horse mackerel South Africa South coast                         |  88.3040935672515
 MARAM-KINGKLIPSA-1932-2008-DEDECKER              | Kingklip South Africa                                                |   78.448275862069
 MARAM-PTOOTHFISHPEI-1960-2008-DEDECKER           | Patagonian toothfish South Africa Subantarctic Prince Edward Islands |  47.6190476190476
 MARAM-SAABALONESA-1951-2008-PLAGANYI             | South African abalone South Africa                                   |                75
 MARAM-SSLOBSTERSASC-1973-2008-Johnston           | Southern spiny lobster South Africa South coast                      |  31.5068493150685
 NAFO-SC-AMPL3LNO-1955-2007-BAUM                  | American Plaice NAFO-3LNO                                            |  96.3302752293578
 NAFO-SC-AMPL3M-1960-2007-BAUM                    | American Plaice NAFO-3M                                              |  82.1548821548822
 NAFO-SC-COD3M-1959-2008-BAUM                     | Atlantic cod NAFO 3M                                                 |  99.5275590551181
 NAFO-SC-COD3NO-1953-2007-BAUM                    | Atlantic cod NAFO 3NO                                                |  97.9452054794521
 NAFO-SC-GHAL23KLMNO-1960-2006-PREFONTAINE        | Greenland halibut NAFO 23KLMNO                                       |  20.9142332976609
 NAFO-SC-REDFISHSPP3M-1989-2006-PREFONTAINE       | Redfish species NAFO 3M                                              |  93.7877364819536
 NEFSC-ACADREDGOMGB-1913-2007-MILLER              | Acadian redfish Gulf of Maine / Georges Bank                         |  97.2793028971839
 NEFSC-AMPL5YZ-1960-2008-OBRIEN                   | American Plaice NAFO-5YZ                                             |                60
