sauptaxonkey,saupname,scientificname,commonname,areaname,primarylme,assessid,tsyear,total,total_unit,ssb,ssb_unit,catch_landings,catch_landings_unit
601520,"Clupea pallasii pallasii","Clupea pallasii","Pacific herring","Sitka","Gulf of Alaska","ADFG-HERRSITKA-1978-2007-COLLIE",1981,41464.62,"MT",39084.58,"MT",26370,"E03"
601520,"Clupea pallasii pallasii","Clupea pallasii","Pacific herring","Sitka","Gulf of Alaska","ADFG-HERRSITKA-1978-2007-COLLIE",1982,32558.12,"MT",28463.71,"MT",33590,"E03"
601520,"Clupea pallasii pallasii","Clupea pallasii","Pacific herring","Sitka","Gulf of Alaska","ADFG-HERRSITKA-1978-2007-COLLIE",1983,65048.21,"MT",36662.7,"MT",38280,"E03"
601520,"Clupea pallasii pallasii","Clupea pallasii","Pacific herring","Sitka","Gulf of Alaska","ADFG-HERRSITKA-1978-2007-COLLIE",1984,55100.84,"MT",44341.47,"MT",49860,"E03"
601520,"Clupea pallasii pallasii","Clupea pallasii","Pacific herring","Sitka","Gulf of Alaska","ADFG-HERRSITKA-1978-2007-COLLIE",1985,41172.79,"MT",37436.3,"MT",53780,"E03"
601520,"Clupea pallasii pallasii","Clupea pallasii","Pacific herring","Sitka","Gulf of Alaska","ADFG-HERRSITKA-1978-2007-COLLIE",1986,38920.55,"MT",29467.48,"MT",37850,"E03"
601520,"Clupea pallasii pallasii","Clupea pallasii","Pacific herring","Sitka","Gulf of Alaska","ADFG-HERRSITKA-1978-2007-COLLIE",1987,88211.2,"MT",43744.92,"MT",41500,"E03"
601520,"Clupea pallasii pallasii","Clupea pallasii","Pacific herring","Sitka","Gulf of Alaska","ADFG-HERRSITKA-1978-2007-COLLIE",1988,65249.34,"MT",57578.83,"MT",105700,"E03"
601520,"Clupea pallasii pallasii","Clupea pallasii","Pacific herring","Sitka","Gulf of Alaska","ADFG-HERRSITKA-1978-2007-COLLIE",1989,40780.35,"MT",38934.73,"MT",132990,"E03"
601520,"Clupea pallasii pallasii","Clupea pallasii","Pacific herring","Sitka","Gulf of Alaska","ADFG-HERRSITKA-1978-2007-COLLIE",1990,27374.12,"MT",24920.73,"MT",30570,"E03"
601520,"Clupea pallasii pallasii","Clupea pallasii","Pacific herring","Sitka","Gulf of Alaska","ADFG-HERRSITKA-1978-2007-COLLIE",1991,69326.78,"MT",33146.48,"MT",23430,"E03"
601520,"Clupea pallasii pallasii","Clupea pallasii","Pacific herring","Sitka","Gulf of Alaska","ADFG-HERRSITKA-1978-2007-COLLIE",1992,61437.2,"MT",55066.2,"MT",55370,"E03"
601520,"Clupea pallasii pallasii","Clupea pallasii","Pacific herring","Sitka","Gulf of Alaska","ADFG-HERRSITKA-1978-2007-COLLIE",1993,41643.87,"MT",39332.21,"MT",97790,"E03"
601520,"Clupea pallasii pallasii","Clupea pallasii","Pacific herring","Sitka","Gulf of Alaska","ADFG-HERRSITKA-1978-2007-COLLIE",1994,31931.53,"MT",28264.2,"MT",35270,"E03"
601520,"Clupea pallasii pallasii","Clupea pallasii","Pacific herring","Sitka","Gulf of Alaska","ADFG-HERRSITKA-1978-2007-COLLIE",1995,52322.69,"MT",32123.1,"MT",18460,"E03"
601520,"Clupea pallasii pallasii","Clupea pallasii","Pacific herring","Sitka","Gulf of Alaska","ADFG-HERRSITKA-1978-2007-COLLIE",1996,46077.43,"MT",34864.16,"MT",72730,"E03"
601520,"Clupea pallasii pallasii","Clupea pallasii","Pacific herring","Sitka","Gulf of Alaska","ADFG-HERRSITKA-1978-2007-COLLIE",1997,57285.45,"MT",39758.82,"MT",40,"E03"
601520,"Clupea pallasii pallasii","Clupea pallasii","Pacific herring","Sitka","Gulf of Alaska","ADFG-HERRSITKA-1978-2007-COLLIE",1998,56671.59,"MT",41794.53,"MT",50200,"E03"
601520,"Clupea pallasii pallasii","Clupea pallasii","Pacific herring","Sitka","Gulf of Alaska","ADFG-HERRSITKA-1978-2007-COLLIE",1999,58784.56,"MT",51877.03,"MT",68240,"E03"
601520,"Clupea pallasii pallasii","Clupea pallasii","Pacific herring","Sitka","Gulf of Alaska","ADFG-HERRSITKA-1978-2007-COLLIE",2000,66922.23,"MT",54283.03,"MT",33870,"E03"
601520,"Clupea pallasii pallasii","Clupea pallasii","Pacific herring","Sitka","Gulf of Alaska","ADFG-HERRSITKA-1978-2007-COLLIE",2001,89747.97,"MT",70414.73,"MT",85780,"E03"
601520,"Clupea pallasii pallasii","Clupea pallasii","Pacific herring","Sitka","Gulf of Alaska","ADFG-HERRSITKA-1978-2007-COLLIE",2002,117572.13,"MT",58172.91,"MT",66950,"E03"
601520,"Clupea pallasii pallasii","Clupea pallasii","Pacific herring","Sitka","Gulf of Alaska","ADFG-HERRSITKA-1978-2007-COLLIE",2003,131490.2,"MT",72198.84,"MT",43490,"E03"
601520,"Clupea pallasii pallasii","Clupea pallasii","Pacific herring","Sitka","Gulf of Alaska","ADFG-HERRSITKA-1978-2007-COLLIE",2004,131565.34,"MT",87794.21,"MT",75750,"E03"
601520,"Clupea pallasii pallasii","Clupea pallasii","Pacific herring","Sitka","Gulf of Alaska","ADFG-HERRSITKA-1978-2007-COLLIE",2005,113223.25,"MT",85901.66,"MT",74200,"E03"
601520,"Clupea pallasii pallasii","Clupea pallasii","Pacific herring","Sitka","Gulf of Alaska","ADFG-HERRSITKA-1978-2007-COLLIE",2006,106607.21,"MT",84923.03,"MT",66650,"E03"
601520,"Clupea pallasii pallasii","Clupea pallasii","Pacific herring","Sitka","Gulf of Alaska","ADFG-HERRSITKA-1978-2007-COLLIE",2007,98398.57,"MT",82880.44,"MT",69610,"E03"
604250,"Pleuronectes quadrituberculatus","Pleuronectes quadrituberculatus","Alaska plaice","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1975,1136420,"MT",172125,"MT",2492,"MT"
604250,"Pleuronectes quadrituberculatus","Pleuronectes quadrituberculatus","Alaska plaice","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1976,1293040,"MT",208732,"MT",3620,"MT"
604250,"Pleuronectes quadrituberculatus","Pleuronectes quadrituberculatus","Alaska plaice","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1977,1426510,"MT",247863,"MT",2589,"MT"
604250,"Pleuronectes quadrituberculatus","Pleuronectes quadrituberculatus","Alaska plaice","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1978,1538610,"MT",281912,"MT",10420,"MT"
604250,"Pleuronectes quadrituberculatus","Pleuronectes quadrituberculatus","Alaska plaice","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1979,1627500,"MT",308075,"MT",13672,"MT"
604250,"Pleuronectes quadrituberculatus","Pleuronectes quadrituberculatus","Alaska plaice","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1980,1686430,"MT",337365,"MT",6902,"MT"
604250,"Pleuronectes quadrituberculatus","Pleuronectes quadrituberculatus","Alaska plaice","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1981,1718730,"MT",370607,"MT",8653,"MT"
604250,"Pleuronectes quadrituberculatus","Pleuronectes quadrituberculatus","Alaska plaice","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1982,1729330,"MT",411737,"MT",6811,"MT"
604250,"Pleuronectes quadrituberculatus","Pleuronectes quadrituberculatus","Alaska plaice","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1983,1721590,"MT",443838,"MT",10766,"MT"
604250,"Pleuronectes quadrituberculatus","Pleuronectes quadrituberculatus","Alaska plaice","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1984,1669490,"MT",469901,"MT",18982,"MT"
604250,"Pleuronectes quadrituberculatus","Pleuronectes quadrituberculatus","Alaska plaice","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1985,1593060,"MT",476423,"MT",24888,"MT"
604250,"Pleuronectes quadrituberculatus","Pleuronectes quadrituberculatus","Alaska plaice","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1986,1501420,"MT",468456,"MT",46519,"MT"
604250,"Pleuronectes quadrituberculatus","Pleuronectes quadrituberculatus","Alaska plaice","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1987,1430420,"MT",451535,"MT",18567,"MT"
604250,"Pleuronectes quadrituberculatus","Pleuronectes quadrituberculatus","Alaska plaice","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1988,1324270,"MT",432878,"MT",61638,"MT"
604250,"Pleuronectes quadrituberculatus","Pleuronectes quadrituberculatus","Alaska plaice","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1989,1295700,"MT",404037,"MT",14134,"MT"
604250,"Pleuronectes quadrituberculatus","Pleuronectes quadrituberculatus","Alaska plaice","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1990,1262020,"MT",387198,"MT",10926,"MT"
