"","mgmt","stock","scientificname","assessmethod","timespan","currentyear","Bratio","bfromassessment","Uratio","ufromassessment","ref"
"48","AFMA","Bight redfish Southeast Australia","\textit{Centroberyx gerrardi}","Integrated Analysis","1958-2007",NA,NA,NA,NA,NA,"\cite{BIGHTREDDEEPFLATSE.pdf}"
"54","AFMA","New Zealand ling Eastern half of Southeast Australia","\textit{Genypterus blacodes}","Integrated Analysis","1968-2007",2007,0.589601982866493,"yes",2.20031929092725,"no","\cite{NZLINGSE.pdf}"
"55","AFMA","New Zealand ling Western half of Southeast Australia","\textit{Genypterus blacodes}","Integrated Analysis","1968-2007",NA,NA,NA,NA,NA,"\cite{NZLINGSE.pdf}"
"56","AFMA","Orange roughy Cascade Plateau","\textit{Hoplostethus atlanticus}","Integrated Analysis","1987-2006",2006,1.75691147989215,"no",0.337842039485692,"no","\cite{CSIRO-Cascade-Plateau-Stock-Assessment-2006.pdf}"
"57","AFMA","Orange roughy Southeast Australia","\textit{Hoplostethus atlanticus}","Integrated Analysis","1978-2007",2007,0.518699857410366,"yes",0.294142878169403,"no","\cite{OROUGHYSE.pdf}"
"53","AFMA","Jackass morwong Southeast Australia","\textit{Nemadactylus macropterus}","Integrated Analysis","1913-2007",2007,0.312739928072090,"yes",1.79756633961250,"no","\cite{MORWONGSE.pdf}"
"60","AFMA","Tiger flathead Southeast Australia","\textit{Neoplatycephalus richardsoni}","Integrated Analysis","1913-2006",2006,1.98751367655862,"yes",1.03052207882170,"no","\cite{TIGERFLATSE.pdf}"
"49","AFMA","Northern Australia brown tiger shrimp","\textit{Penaeus esculentus}","Biomass dynamics model","1970-2006",NA,NA,NA,NA,NA,"\cite{NORTHPRAWNS.pdf}"
"52","AFMA","Northern Australia grooved Tiger Prawn","\textit{Penaeus esculentus}","Biomass dynamics model","1970-2006",NA,NA,NA,NA,NA,"\cite{NORTHPRAWNS.pdf}"
"50","AFMA","Deepwater flathead Southeast Australia","\textit{Platycephalus conatus}","Integrated Analysis","1978-2007",2007,1.50638123335621,"yes",0.605294284387069,"no","\cite{BIGHTREDDEEPFLATSE.pdf}"
"279","AFMA","Tasmanian giant crab Tasmania","\textit{Pseudocarcinus gigas}","Unknown","1990-2007",2007,0.501843245164773,"no",1.70529345201967,"no","\cite{JENSEN_TASGIANTCRAB_2008.pdf}"
"51","AFMA","common gemfish Southeast Australia","\textit{Rexea solandri}","Integrated Analysis","1966-2007",2007,0.248653431825177,"yes",0.394576821047927,"no","\cite{GEMFISHSE.pdf}"
"61","AFMA","Blue Warehou Eastern half of Southeast Australia","\textit{Seriolella brama}","Integrated Analysis","1984-2006",2006,0.488055428017549,"yes",0.836484734086356,"no","\cite{WAREHOUSE.pdf}"
"62","AFMA","Blue Warehou Western half of Southeast Australia","\textit{Seriolella brama}","Integrated Analysis","1984-2006",2006,0.413227604326089,"yes",2.04426251382107,"no","\cite{WAREHOUSE.pdf}"
"58","AFMA","Silverfish Southeast Australia","\textit{Seriolella punctata}","Integrated Analysis","1978-2006",2006,1.03062657744341,"yes",0.79395563635935,"no","\cite{SILVERFISHSE.pdf}"
"59","AFMA","School whiting Southeast Australia","\textit{Sillago flindersi}","Integrated Analysis","1945-2007",2007,0.663255272300995,"yes",0.82000379796871,"no","\cite{SWHITSE.pdf}"
"47","CCAMLR","Antarctic toothfish Ross Sea","\textit{Dissostichus mawsoni}","Integrated Analysis","1995-2007",2007,1.76196145269713,"no",0.322226544117647,"yes","\cite{ATOOTHFISHRS.pdf}"
"106","CFP","Argentine anchoita Northern Argentina","\textit{Engraulis anchoita}","VPA","1989-2007",2007,1.36955102706402,"yes",0.168598524762908,"yes","\cite{Hansen-ANCHOVY-N-2007.pdf}"
"107","CFP","Argentine anchoita Southern Argentina","\textit{Engraulis anchoita}","Biomass dynamics model","1992-2007",2007,3.13484672348656,"yes",0.0352941176470588,"yes","\cite{Hansen-ANCHOVY-S-2007.pdf}"
"110","CFP","Patagonian grenadier Southern Argentina","\textit{Macruronus magellanicus}","VPA","1983-2006",2006,1.81662738697919,"yes",0.595021250758956,"yes","\cite{Giussi-hoki-2007.pdf}"
"108","CFP","Argentine hake Northern Argentina","\textit{Merluccius hubbsi}","VPA","1985-2007",2007,0.163236253494874,"yes",1.26145303100416,"yes","\cite{Irusta-hake-N-2007.pdf}"
"109","CFP","Argentine hake Southern Argentina","\textit{Merluccius hubbsi}","VPA","1985-2008",2008,0.340695071615704,"yes",1.49358226371062,"yes","\cite{Renzi-hake-S-2009.pdf}"
"111","CFP"," Southern blue whiting Southern Argentina","\textit{Micromesistius australis}","VPA","1985-2007",NA,NA,NA,NA,NA,"\cite{Giussi-polaca-2007.pdf}"
"124","DETMCM","Patagonian toothfish South Africa Subantarctic Prince Edward Islands","\textit{Dissostichus eleginoides}","Biomass dynamics model","1960-2008",NA,NA,NA,NA,NA,"\cite{Branch-SA-Toothfish-2007.pdf}"
"114","DETMCM","Anchovy South Africa","\textit{Engraulis encrasicolus}","Statistical catch at age model","1984-2006",2006,0.97166736359418,"no",0.358369938456281,"no","\cite{ANCHOSA.pdf}"
"123","DETMCM","Kingklip South Africa","\textit{Genypterus capensis}","Biomass dynamics model","1932-2008",2008,1.20478541928533,"yes",0.554641486636281,"no","\cite{Branch-SA-Kingklip-2008.pdf}"
"125","DETMCM","South African abalone South Africa","\textit{Haliotis midae}","Statistical catch at age model","1951-2008",NA,NA,NA,NA,NA,"\cite{Plaganyi-SA-abalone-2008NOVSWG-AB21.pdf}"
"116","DETMCM","South African west coast rock lobster South Africa Areas 1-2","\textit{Jasus lalandii}","Statistical catch at age model","1910-2008",NA,NA,NA,NA,NA,"\cite{Johnston-SAWestRockLobster-2007.pdf}"
"117","DETMCM","South African west coast rock lobster South Africa Areas 3-4","\textit{Jasus lalandii}","Statistical catch at age model","1910-2008",NA,NA,NA,NA,NA,"\cite{Johnston-SAWestRockLobster-2007.pdf}"
"118","DETMCM","South African west coast rock lobster South Africa Areas 5-6","\textit{Jasus lalandii}","Statistical catch at age model","1910-2008",NA,NA,NA,NA,NA,"\cite{Johnston-SAWestRockLobster-2007.pdf}"
"119","DETMCM","South African west coast rock lobster South Africa Area 7","\textit{Jasus lalandii}","Statistical catch at age model","1910-2008",NA,NA,NA,NA,NA,"\cite{Johnston-SAWestRockLobster-2007.pdf}"
"120","DETMCM","South African west coast rock lobster South Africa Area 8","\textit{Jasus lalandii}","Statistical catch at age model","1910-2008",NA,NA,NA,NA,NA,"\cite{Johnston-SAWestRockLobster-2007.pdf}"
"115","DETMCM","Shallow-water cape hake South Africa","\textit{Merluccius capensis}","Biomass dynamics model","1917-2008",2008,2.29592339449541,"yes",0.400027141007563,"no","\cite{SA-Mparadoxus-2008-IWS-DEC08-H-5.pdf}"
"122","DETMCM","Deep-water cape hake South Africa","\textit{Merluccius paradoxus}","Biomass dynamics model","1917-2008",NA,NA,NA,NA,NA,"\cite{SA-Mparadoxus-2008-IWS-DEC08-H-5.pdf}"
"127","DETMCM","Southern spiny lobster South Africa South coast","\textit{Palinurus gilchristi}","Statistical catch at age model","1973-2008",2008,0.514511537930082,"no",1.50488022159011,"no","\cite{Johnston-SASouthRockLobster-2008.pdf}"
"126","DETMCM","Sardine South Africa","\textit{Sardinops sagax}","Statistical catch at age model","1984-2006",2006,0.752727373106407,"no",0.554929063783784,"no","\cite{deMoorSASardineAssessment-Sep07.pdf}"
"121","DETMCM","Cape horse mackerel South Africa South coast","\textit{Trachurus capensis}","Biomass dynamics model","1950-2007",2007,1.47493502535493,"no",0.760576592973883,"no","\cite{Johnston-SAHorseMackerel-2007.pdf}"
"66","DFO","Herring Scotian Shelf and Bay of Fundy","\textit{Clupea harengus}","VPA","1965-2006",NA,NA,NA,NA,NA,"\cite{NAFO-HERR4VWX-2006.pdf}"
"80","DFO","Herring NAFO 4R fall spawners","\textit{Clupea harengus}","VPA","1971-2003",NA,NA,NA,NA,NA,"\cite{NAFO-HERR4RSP-2004.pdf}"
"81","DFO","Herring NAFO 4R spring spawners","\textit{Clupea harengus}","VPA","1963-2004",NA,NA,NA,NA,NA,"\cite{NAFO-HERR4RSP-2004.pdf}"
"83","DFO","Herring NAFO 4T fall spawners","\textit{Clupea harengus}","VPA","1974-2007",NA,NA,NA,NA,NA,"\cite{NAFO-HERR4TFA-2007.pdf}"
"84","DFO","Herring NAFO 4T spring spawners","\textit{Clupea harengus}","VPA","1974-2007",NA,NA,NA,NA,NA,"\cite{NAFO-HERR4TFA-2007.pdf}"
"70","DFO","Pacific herring Central Coast","\textit{Clupea pallasii}","Statistical catch at age model","1951-2007",2007,0.299670833780449,"no",0.112273242182632,"no","\cite{RES2007_002_e.pdf}"
"71","DFO","Pacific herring Prince Rupert District","\textit{Clupea pallasii}","Statistical catch at age model","1951-2007",2007,0.163490617213574,"no",0.324794893857959,"no","\cite{RES2007_002_e.pdf}"
"72","DFO","Pacific herring Queen Charlotte Islands","\textit{Clupea pallasii}","Statistical catch at age model","1951-2007",2007,0.204224704658958,"no",0,"no","\cite{RES2007_002_e.pdf}"
"73","DFO","Pacific herring Straight of Georgia","\textit{Clupea pallasii}","Statistical catch at age model","1951-2007",2007,0.911200656406296,"no",0.404049636266064,"no","\cite{RES2007_002_e.pdf}"
"74","DFO","Pacific herring West Coast of Vancouver Island","\textit{Clupea pallasii}","Statistical catch at age model","1951-2007",2007,0.0339331920597717,"no",0,"no","\cite{RES2007_002_e.pdf}"
"75","DFO","Pacific cod Hecate Strait","\textit{Gadus macrocephalus}","Biomass dynamics model","1956-2005",2004,0.366134555688604,"no",0.251972099797116,"no","\cite{RES2005_026_Cod.pdf}"
"76","DFO","Pacific cod West Coast of Vancouver Island","\textit{Gadus macrocephalus}","Biomass dynamics model","1956-2002",2001,0.281424834474386,"no",0.614688789348834,"no","\cite{ref2002-113.pdf}"
"63","DFO","Atlantic cod NAFO 5Zjm","\textit{Gadus morhua}","VPA","1978-2003",2002,0.339762819768685,"no",0.448821892089302,"no","\cite{NAFO-COD5Zjm-2003.pdf}"
"67","DFO","Atlantic cod NAFO 2J3KL inshore","\textit{Gadus morhua}","VPA","1959-2006",2005,1.60131971856084,"no",0.142498818629044,"no","\cite{DFO-COD2J3KLIS-2006.pdf}"
