"Kingdom","Phylum","Class","Order","Family","Genus","Species","LME#"
"Animalia","Chordata","Myxini (hagfishes)","Myxiniformes","Myxinidae","Myxine","affinis",2
"Animalia","Chordata","Myxini (hagfishes)","Myxiniformes","Myxinidae","Myxine","australis",3
"Animalia","Chordata","Myxini (hagfishes)","Myxiniformes","Myxinidae","Myxine","capensis",1
"Animalia","Chordata","Myxini (hagfishes)","Myxiniformes","Myxinidae","Myxine","circifrons",3
"Animalia","Chordata","Myxini (hagfishes)","Myxiniformes","Myxinidae","Myxine","debueni",1
"Animalia","Chordata","Myxini (hagfishes)","Myxiniformes","Myxinidae","Myxine","fernholmi",1
"Animalia","Chordata","Myxini (hagfishes)","Myxiniformes","Myxinidae","Myxine","glutinosa",8
"Animalia","Chordata","Myxini (hagfishes)","Myxiniformes","Myxinidae","Myxine","hubbsi",1
"Animalia","Chordata","Myxini (hagfishes)","Myxiniformes","Myxinidae","Myxine","hubbsoides",1
"Animalia","Chordata","Myxini (hagfishes)","Myxiniformes","Myxinidae","Myxine","ios",2
"Animalia","Chordata","Myxini (hagfishes)","Myxiniformes","Myxinidae","Myxine","limosa",3
"Animalia","Chordata","Myxini (hagfishes)","Myxiniformes","Myxinidae","Myxine","mcmillanae",1
"Animalia","Chordata","Myxini (hagfishes)","Myxiniformes","Myxinidae","Myxine","pequenoi",1
"Animalia","Chordata","Myxini (hagfishes)","Myxiniformes","Myxinidae","Nemamyxine","elongata",1
"Animalia","Chordata","Myxini (hagfishes)","Myxiniformes","Myxinidae","Nemamyxine","kreffti",3
"Animalia","Chordata","Myxini (hagfishes)","Myxiniformes","Myxinidae","Neomyxine","biniplicata",1
"Animalia","Chordata","Myxini (hagfishes)","Myxiniformes","Myxinidae","Notomyxine","tridentiger",2
"Animalia","Chordata","Myxini (hagfishes)","Myxiniformes","Myxinidae","Paramyxine","atami",1
"Animalia","Chordata","Myxini (hagfishes)","Myxiniformes","Myxinidae","Paramyxine","cheni",1
"Animalia","Chordata","Myxini (hagfishes)","Myxiniformes","Myxinidae","Paramyxine","fernholmi",1
"Animalia","Chordata","Myxini (hagfishes)","Myxiniformes","Myxinidae","Paramyxine","sheni",1
"Animalia","Chordata","Myxini (hagfishes)","Myxiniformes","Myxinidae","Paramyxine","wayuu",1
"Animalia","Chordata","Myxini (hagfishes)","Myxiniformes","Myxinidae","Quadratus","ancon",1
"Animalia","Chordata","Myxini (hagfishes)","Myxiniformes","Myxinidae","Quadratus","nelsoni",1
"Animalia","Chordata","Myxini (hagfishes)","Myxiniformes","Myxinidae","Quadratus","yangi",1
"Animalia","Chordata","Cephalaspidomorphi (lampreys)","Petromyzontiformes","Petromyzontidae","Geotria","australis",6
"Animalia","Chordata","Cephalaspidomorphi (lampreys)","Petromyzontiformes","Petromyzontidae","Lampetra","ayresii",2
"Animalia","Chordata","Cephalaspidomorphi (lampreys)","Petromyzontiformes","Petromyzontidae","Lampetra","camtschatica",11
"Animalia","Chordata","Cephalaspidomorphi (lampreys)","Petromyzontiformes","Petromyzontidae","Lampetra","fluviatilis",5
"Animalia","Chordata","Cephalaspidomorphi (lampreys)","Petromyzontiformes","Petromyzontidae","Lampetra","tridentata",7
