"stock" "scientificname" "timespan" "nyrscatch" "nyrsssb" "nyrsr"
"113" "Atlantic butterfish Gulf of Maine / Cape Hatteras" "Peprilus triacanthus" "1965-2005" 40 34 34
"114" "Atlantic cod Georges Bank" "Gadus morhua" "1960-2008" 47 29 30
"115" "Atlantic cod Gulf of Maine" "Gadus morhua" "1893-2008" 114 25 25
"116" "Haddock NAFO-5Y" "Melanogrammus aeglefinus" "1956-2008" 51 30 31
"117" "Haddock Georges Bank" "Melanogrammus aeglefinus" "1930-2008" 76 76 77
"118" "Atlantic herring Northwestern Atlantic Coast" "Clupea harengus" "1960-2005" 45 38 36
"119" "Atlantic mackerel Gulf of Maine / Cape Hatteras" "Scomber scombrus" "1960-2005" 45 42 41
"120" "Scup Atlantic Coast" "Stenotomus chrysops" "1960-2007" 47 23 23
"121" "Spiny dogfish Atlantic Coast" "Squalus acanthias" "1962-2006" 24 15 38
"122" "Summer flounder Mid-Atlantic Coast" "Paralichthys dentatus" "1940-2007" 25 25 25
"123" "Striped bass Gulf of Maine / Cape Hatteras" "Morone saxatilis" "1982-2006" 24 24 23
"124" "White hake Georges Bank / Gulf of Maine" "Urophycis tenuis" "1963-2007" 44 44 44
"125" "Winter Flounder NAFO-5Z" "Pseudopleuronectes americanus" "1982-2007" 25 24 24
"126" "Winter Flounder Southern New England-Mid Atlantic" "Pseudopleuronectes americanus" "1940-2007" 26 26 26
"127" "Witch Flounder NAFO-5Y" "Glyptocephalus cynoglossus" "1982-2008" 25 25 26
"128" "Yellowtail flounder Cape Cod / Gulf of Maine" "Limanda ferruginea" "1935-2008" 72 22 22
"129" "Yellowtail flounder Georges Bank" "Limanda ferruginea" "1935-2008" 72 34 35
"130" "Yellowtail Flounder Southern New England-Mid Atlantic" "Limanda ferruginea" "1935-2008" 72 34 34
"131" "Australian salmon New Zealand" "Arripis trutta" "1975-2006" 31 31 30
"132" "Pacific sardine North Pacific" "Sardinops sagax" "1981-2008" 25 27 27
"133" "Arrowtooth flounder Pacific Coast" "Reinhardtius stomias" "1916-2007" 91 91 91
"134" "Blackgill rockfish  Pacific Coast" "Sebastes melanostomus" "1950-2005" 26 55 55
"135" "Black rockfish Northern Pacific Coast" "Sebastes melanops" "1914-2006" 91 91 91
