"","area","stockid","areaname","commonname","scientificname","taxocategory"
"1","Aust-NZ","AUSSALMONNZ","New Zealand","Australian salmon","Arripis trutta","Pelagic"
"33","Aust-NZ","BIGHTREDSE","Southeast Australia","Bight redfish","Centroberyx gerrardi","Other demersal"
"83","Aust-NZ","BLACKOREOWECR","West end of Chatham Rise","Black oreo","Allocyttus niger","Other demersal"
"118","Aust-NZ","DEEPFLATHEADSE","Southeast Australia","Deepwater flathead","Platycephalus conatus","Other demersal"
"148","Aust-NZ","GEMFISHNZ","New Zealand","common gemfish","Rexea solandri","Other demersal"
"203","Aust-NZ","GEMFISHSE","Southeast Australia","common gemfish","Rexea solandri","Other demersal"
"245","Aust-NZ","HOKIENZ","Eastern New Zealand","Hoki","Macruronus novaezelandiae","Other demersal"
"281","Aust-NZ","HOKIWNZ","Western New Zealand","Hoki","Macruronus novaezelandiae","Other demersal"
"317","Aust-NZ","MORWONGSE","Southeast Australia","Hawaiian morwong","Nemadactylus macropterus","Other demersal"
"412","Aust-NZ","NZLINGESE","Southeast Australia","New Zealand ling","Genypterus blacodes","Other demersal"
"452","Aust-NZ","NZLINGLIN3-4","New Zealand Areas LIN 3 and 4","New Zealand ling","Genypterus blacodes","Other demersal"
"488","Aust-NZ","NZLINGLIN5-6","New Zealand Areas LIN 5 and 6","New Zealand ling","Genypterus blacodes","Other demersal"
"524","Aust-NZ","NZLINGLIN6b","New Zealand Areas LIN 6b","New Zealand ling","Genypterus blacodes","Other demersal"
"551","Aust-NZ","NZLINGLIN72","New Zealand Areas LIN 72","New Zealand ling","Genypterus blacodes","Other demersal"
"587","Aust-NZ","NZLINGLIN7WC","New Zealand Areas LIN 7WC-WCSI","New Zealand ling","Genypterus blacodes","Other demersal"
"624","Aust-NZ","NZLINGWSE","Western half of Southeast Australia","New Zealand ling","Genypterus blacodes","Other demersal"
"664","Aust-NZ","NZSNAPNZ8","New Zealand Area 8 (Auckland and Central West)","New Zealand snapper","Chrysophrys auratus","Other demersal"
"739","Aust-NZ","OROUGHYNZMEC","New Zealand Mid East Coast","Orange roughy","Hoplostethus atlanticus","Other demersal"
"763","Aust-NZ","OROUGHYSE","Southeast Australia","Orange roughy","Hoplostethus atlanticus","Other demersal"
"793","Aust-NZ","SBWHITACIR","New Zealand - Campbell Island Rise","Southern blue whiting","Micromesistius australis","Gadidae"
"821","Aust-NZ","SILVERFISHSE","Southeast Australia","Silverfish","Seriolella punctata","Other demersal"
"850","Aust-NZ","SMOOTHOREOCR","Chatham Rise","Smooth oreo","Pseudocyttus maculatus","Other demersal"
"878","Aust-NZ","SMOOTHOREOWECR","West end of Chatham Rise","Smooth oreo","Pseudocyttus maculatus","Other demersal"
"910","Aust-NZ","SOUTHHAKECR","Chatham Rise","Southern hake","Merluccius australis","Other demersal"
"942","Aust-NZ","SOUTHHAKESA","Sub-Antarctic","Southern hake","Merluccius australis","Other demersal"
"975","Aust-NZ","SWHITSE","Southeast Australia","School whiting","Sillago flindersi","Other demersal"
"1038","Aust-NZ","TIGERFLATSE","Southeast Australia","Tiger flathead","Neoplatycephalus richardsoni","Other demersal"
"1132","Aust-NZ","TREVALLYTRE7","New Zealand Areas TRE 7","Trevally","Pseudocaranx dentex","Other demersal"
"1194","HighSeas","ALBANATL","Northern Atlantic","Albacore tuna","Thunnus alalunga","Pelagic"
"1270","HighSeas","ALBASPAC","South Pacific Ocean","Albacore tuna","Thunnus alalunga","Pelagic"
"1318","HighSeas","ATBTUNAEATL","Eastern Atlantic","Atlantic bluefin tuna","Thunnus thynnus","Pelagic"
"1356","HighSeas","ATBTUNAWATL","Western Atlantic","Atlantic bluefin tuna","Thunnus thynnus","Pelagic"
"1394","HighSeas","BIGEYEATL","Atlantic","Bigeye tuna","Thunnus obesus","Pelagic"
"1425","HighSeas","BIGEYEEPAC","Eastern Pacific","Bigeye tuna","Thunnus obesus","Pelagic"
"1458","HighSeas","BIGEYEIO","Indian Ocean","Bigeye tuna","Thunnus obesus","Pelagic"
"1503","HighSeas","BIGEYEWPO","Western Pacific Ocean","Bigeye tuna","Thunnus obesus","Pelagic"
"1558","HighSeas","PTOOTHFISHPEI","South Africa Subantarctic Prince Edward Islands","Patagonian toothfish","Dissostichus eleginoides","Other demersal"
"1607","HighSeas","SKJCWPAC","Central Western Pacific","Skipjack tuna","Katsuwonus pelamis","Pelagic"
"1642","HighSeas","SWORDNATL","Northern Atlantic","Swordfish","Xiphias gladius","Pelagic"
"1670","HighSeas","YFINATL","Atlantic","Yellowfin tuna","Thunnus albacares","Pelagic"
"1707","HighSeas","YFINCWPAC","Central Western Pacific","Yellowfin tuna","Thunnus albacares","Pelagic"
"1761","HighSeas","YFINEPAC","Northeast Pacific","Yellowfin tuna","Thunnus albacares","Pelagic"
"1794","NEAtl","BWHITNEA","Northeast Atlantic","Blue whiting","Micromesistius poutassou","Gadidae"
"1821","NEAtl","CAPEICE","Iceland Grounds","Capelin","Mallotus villosus","Pelagic"
"1850","NEAtl","CAPENOR","Barents Sea","Capelin","Mallotus villosus","Pelagic"
"1877","NEAtl","CODBA2224","Western Baltic","Atlantic cod","Gadus morhua","Gadidae"
"1915","NEAtl","CODBA2532","Eastern Baltic","Atlantic cod","Gadus morhua","Gadidae"
"1956","NEAtl","CODFAPL","Faroe Plateau","Atlantic cod","Gadus morhua","Gadidae"
"2002","NEAtl","CODICE","Iceland Grounds","Atlantic cod","Gadus morhua","Gadidae"
"2054","NEAtl","CODIS","Irish Sea","Atlantic cod","Gadus morhua","Gadidae"
"2093","NEAtl","CODKAT","Kattegat and Skagerrak","Atlantic cod","Gadus morhua","Gadidae"
"2129","NEAtl","CODNEAR","North-East Arctic","Atlantic cod","Gadus morhua","Gadidae"
"2190","NEAtl","CODNS","North Sea","Atlantic cod","Gadus morhua","Gadidae"
"2235","NEAtl","CODVIa","West of Scotland","Atlantic cod","Gadus morhua","Gadidae"
"2264","NEAtl","GHALNEAR","North-East Arctic","Greenland halibut","Reinhardtius hippoglossoides","Pleuronectiformes"
"2307","NEAtl","HADFAPL","Faroe Plateau","Haddock","Melanogrammus aeglefinus","Gadidae"
"2357","NEAtl","HADICE","Iceland Grounds","Haddock","Melanogrammus aeglefinus","Gadidae"
"2386","NEAtl","HADNEAR","North-East Arctic","Haddock","Melanogrammus aeglefinus","Gadidae"
"2443","NEAtl","HADNS-IIIa","IIIa and North Sea","Haddock","Melanogrammus aeglefinus","Gadidae"
"2487","NEAtl","HADVIa","West of Scotland","Haddock","Melanogrammus aeglefinus","Gadidae"
"2516","NEAtl","HAKENRTN","IIIa-IV-VI-VII-VIIIabd","Hake","Merluccius merluccius","Other demersal"
"2545","NEAtl","HAKESOTH","VIIIc-IXa","Hake","Merluccius merluccius","Other demersal"
"2571","NEAtl","HERR2532","Eastern Baltic","Herring","Clupea harengus","Pelagic"
"2604","NEAtl","HERR30","Bothnian Sea","Herring","Clupea harengus","Pelagic"
"2638","NEAtl","HERR31","Bothnian Bay","Herring","Clupea harengus","Pelagic"
"2665","NEAtl","HERRNIRS","Irish Sea","Herring","Clupea harengus","Pelagic"
"2711","NEAtl","HERRNS","North Sea","Herring","Clupea harengus","Pelagic"
"2758","NEAtl","HERRRIGA","Gulf of Riga East of Gotland","Herring","Clupea harengus","Pelagic"
"2789","NEAtl","HERRVIa","West of Scotland","Herring","Clupea harengus","Pelagic"
"2838","NEAtl","MACKNEICES","IIa-IIIabd-IV-Vb-VI-VII-VIIIabcde-XII-XIV-Ixa","Mackerel","Scomber scombrus","Pelagic"
"2873","NEAtl","PLAIC7d","Eastern English Channel","European Plaice","Pleuronectes platessa","Pleuronectiformes"
"2900","NEAtl","PLAICCELT","Celtic Sea","European Plaice","Pleuronectes platessa","Pleuronectiformes"
"2930","NEAtl","PLAICECHW","Western English Channel","European Plaice","Pleuronectes platessa","Pleuronectiformes"
"2961","NEAtl","PLAICIIIa","Kattegat and Skagerrak","European Plaice","Pleuronectes platessa","Pleuronectiformes"
"2990","NEAtl","PLAICIS","Irish Sea","European Plaice","Pleuronectes platessa","Pleuronectiformes"
"3033","NEAtl","PLAICNS","North Sea","European Plaice","Pleuronectes platessa","Pleuronectiformes"
"3083","NEAtl","POLLFAPL","Faroe Plateau","Pollock","Pollachius virens","Gadidae"
"3129","NEAtl","POLLNEAR","North-East Arctic","Pollock","Pollachius virens","Gadidae"
"3176","NEAtl","POLLNS-VI-IIIa","IIIa, VI and North Sea","Pollock","Pollachius virens","Gadidae"
"3216","NEAtl","SARDPVIIIc-IXa","VIIIc-IXa","European pilchard","Sardina pilchardus","Pelagic"
"3246","NEAtl","SOLECS","Celtic Sea","common European sole","Solea vulgaris","Pleuronectiformes"
"3282","NEAtl","SOLEIS","Irish Sea","common European sole","Solea vulgaris","Pleuronectiformes"
"3319","NEAtl","SOLENS","North Sea","common European sole","Solea vulgaris","Pleuronectiformes"
"3369","NEAtl","SOLEVIId","Eastern English Channel","common European sole","Solea vulgaris","Pleuronectiformes"
"3394","NEAtl","SOLEVIIe","Western English Channel","common European sole","Solea vulgaris","Pleuronectiformes"
"3432","NEAtl","SPRAT22-32","Baltic Areas 22-32","Sprat","Sprattus sprattus","Pelagic"
"3466","NEAtl","WHITNS-VIId-IIIa","IIIa, VIId and North Sea","Whiting","Merlangius merlangus","Gadidae"
"3493","NEAtl","WHITVIIek","Celtic Sea","Whiting","Merlangius merlangus","Gadidae"
"3518","NEPac","ALPLAICBSAI","Bering Sea and Aleutian Islands","Alaska plaice","Pleuronectes quadrituberculatus","Pleuronectiformes"
"3552","NEPac","ARFLOUNDBSAI","Bering Sea and Aleutian Islands","Arrowtooth flounder","Reinhardtius stomias","Pleuronectiformes"
"3585","NEPac","ARFLOUNDGA","Gulf of Alaska","Arrowtooth flounder","Reinhardtius stomias","Pleuronectiformes"
