"","geo","taxo","stockid","assessid","m.slope.before","m.slope.after","mcont.slope.before","mcont.slope.after","m.diff","mcont.diff","model.diff","mss.slope.before","mss.slope.after","mss.slope.diff","m.pre.positive","mcont.pre.positive","mss.pre.positive","m.post.positive","mcont.post.positive","mss.post.positive"
"21","Aust-NZ","Other demersal","BIGHTREDSE","CSIRO-BIGHTREDSE-1958-2007-FULTON",0.00382419916247872,-0.0242181178728242,0.00556380511743252,-0.0170422433086398,-0.0280423170353029,-0.0226060484260724,-0.00543626860923059,0.0046979,-0.023388,-0.0280859,1,1,1,0,0,0
"22","Aust-NZ","Other demersal","BLACKOREOWECR","NZMFishDEEPWATER-BLACKOREOWECR-1973-2007-JENSEN",-0.0581098727314541,-0.0155777231757694,-0.0587555357035076,-0.0163895494126897,0.0425321495556847,0.042365986290818,0.000166163264866730,-0.051334,-0.015767,0.035567,0,0,0,0,0,0
"23","NEPac","Other demersal","BLACKROCKNPCOAST","NWFSC-BLACKROCKNPCOAST-1914-2006-BRANCH",-0.00950770871477291,0.0586310973964589,-0.0125616524401663,-0.0158342304410495,0.0681388061112318,-0.0032725780008832,0.071411384112115,-0.01669,0.045798,0.062488,0,0,0,1,0,1
"24","NEPac","Other demersal","BLACKROCKSPCOAST","NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH",-0.00776523510620673,0.0527876685035356,-0.0103087262413136,-0.00193479518265997,0.0605529036097423,0.0083739310586536,0.0521789725510887,NA,NA,NA,0,0,NA,1,0,NA
"25","NWAtl","Other demersal","BLUEFISHATLC","NEFSC-BLUEFISHATLC-1981-2007-SHEPHERD",-0.141514263469535,0.0302979853670825,-0.151725588187428,0.0269192382177798,0.171812248836618,0.178644826405207,-0.00683257756858985,-0.13138,0.021195,0.152575,0,0,0,1,1,1
"26","NEPac","Other demersal","BLUEROCKCAL","NWFSC-BLUEROCKCAL-1916-2007-BRANCH",-0.0204303245608756,0.0802000235950371,-0.0250386184595228,-0.0163708411927905,0.100630348155913,0.00866777726673232,0.0919625708891804,-0.026959,0.054411,0.08137,0,0,0,1,0,1
"27","NEPac","Other demersal","BOCACCSPCOAST","NWFSC-BOCACCSPCOAST-1951-2006-BRANCH",-0.0142649345579695,0.0425144228129970,-0.0270379970460139,-0.0447681708553062,0.0567793573709665,-0.0177301738092923,0.0745095311802588,-0.032817,0.042092,0.074909,0,0,0,1,0,1
"28","NWAtl","Other demersal","BSBASSMATLC","NEFSC-BSBASSMATLC-1968-2007-SHEPHERD",-0.00448471950882944,0.0504752257980156,-0.0119043115452418,0.0354178184300023,0.054959945306845,0.0473221299752441,0.0076378153316009,0.0051324,0.033116,0.0279836,0,0,1,1,1,1
"29","NWAtl","Other demersal","BUTTERGOMCHATT","NEFSC-BUTTERGOMCHATT-1965-2005-OVERHOLTZ",-0.00869105555492437,-0.0148977355226142,-0.0154146930774757,-0.0430147651623743,-0.00620667996768987,-0.0276000720848987,0.0213933921172088,-0.057816,-0.0034137,0.0544023,0,0,0,0,0,0
"30","NEAtl","Gadidae","BWHITNEA","WGNPBW-BWHITNEA-1980-2007-JENNINGS",-0.0363147852459581,0.0768474741560496,-0.0140820176637019,0.0858386669282855,0.113162259402008,0.0999206845919875,0.0132415748100203,0.007276,0.035135,0.027859,0,0,1,1,1,1
