"","StockID","Area","Commonname","Scientificname","Category","type","ratio1992","ratiocurrent","mcontpre","mcontpost","mpre","mpost","msspre","msspost"
"135","PLAIC7d","Eastern English Channel","European Plaice","Pleuronectes platessa","Demersal",NA,NA,NA,0.0415,-0.0674,0.0809,-0.0457,0.0276,-0.0376
"136","PLAICCELT","Celtic Sea","European Plaice","Pleuronectes platessa","Demersal","*",0.98,0.65,0.0517,-0.096,0.0843,-0.0674,0.066,-0.0592
"137","PLAICECHW","Western English Channel","European Plaice","Pleuronectes platessa","Demersal","*",0.72,0.51,0.0403,-0.0536,0.0785,-0.0153,0.0505,-0.0392
"138","PLAICIIIa","Kattegat and Skagerrak","European Plaice","Pleuronectes platessa","Demersal",NA,NA,NA,-0.0115,-0.0443,-0.0265,-0.0557,-0.0137,-0.032
"139","PLAICIS","Irish Sea","European Plaice","Pleuronectes platessa","Demersal","*",0.57,1.07,-0.0266,0.0331,-0.0198,0.0545,-0.0256,0.0482
"140","PLAICNS","North Sea","European Plaice","Pleuronectes platessa","Demersal",NA,NA,NA,-0.0033,-0.0366,0.0021,-0.0096,-9e-04,-0.025
"141","POLL4VWX5Zc","Scotian Shelf, Bay of Fundy and Georges Bank","Pollock","Pollachius virens","Demersal","*",0.62,0.56,-0.1202,-0.0183,-0.0543,0.0064,-0.0561,4e-04
"142","POLLFAPL","Faroe Plateau","Pollock","Pollachius virens","Demersal","*",0.52,0.99,-0.0148,0.0068,-0.0056,0.0423,-0.0119,0.0355
"143","POLLNEAR","North-East Arctic","Pollock","Pollachius virens","Demersal","*",0.72,1.7,-0.0447,0.1547,-0.0546,0.1137,-0.0275,0.1339
"144","POLLNS-VI-IIIa","IIIa, VI and North Sea","Pollock","Pollachius virens","Demersal","*",0.27,0.57,-0.0517,0.07,-0.0483,0.0784,-0.0313,0.0781
"145","POPERCHGA","Gulf of Alaska","Pacific ocean perch","Sebastes alutus","Demersal"," ",0.3,1.16,-0.0686,0.14,-0.0901,0.0747,-0.0698,0.0853
"146","POPERCHPCOAST","Pacific Coast","Pacific ocean perch","Sebastes alutus","Demersal"," ",0.53,0.69,-0.0429,0.0053,-0.0399,0.0194,-0.0398,0.0174
"147","PSOLENPCOAST","Northern Pacific Coast","Petrale sole","Eopsetta jordani","Demersal"," ",0.48,1.87,-0.0293,0.0324,-0.0268,0.1124,-0.03,0.105
"148","PSOLESPCOAST","Southern Pacific Coast","Petrale sole","Eopsetta jordani","Demersal"," ",0.27,1.13,-0.022,-0.0063,-0.0206,0.0872,-0.0226,0.1089
"149","PTOOTHFISHPEI","South Africa Subantarctic Prince Edward Islands","Patagonian toothfish","Dissostichus eleginoides","Demersal"," ",4.88,1.81,0.0033,-0.0656,-4e-04,-0.0775,-5e-04,-0.0619
"150","REXSOLEGA","Gulf of Alaska","Rex sole","Glyptocephalus zachirus","Demersal"," ",2.22,2.6,0.0142,5e-04,0.0147,6e-04,0.0235,0.0103
"151","REYEROCKBSAI","Bering Sea and Aleutian Islands","Rougheye rockfish","Sebastes aleutianus","Demersal"," ",1.11,1.15,0.0088,0.002,0.014,0.0052,0,0.0021
"152","REYEROCKGA","Gulf of Alaska","Rougheye rockfish","Sebastes aleutianus","Demersal"," ",1.47,1.64,-0.0209,0.0068,-0.0199,0.0075,-0.0207,0.0071
"153","RPORGYSATLC","Southern Atlantic coast","Common seabream","Pagrus pagrus","Demersal"," ",0.32,0.61,-0.1179,0.0182,-0.0982,0.0594,-0.102,0.055
"154","RSNAPEGM","Eastern Gulf of Mexico","Red snapper","Lutjanus campechanus","Demersal",NA,NA,NA,-0.1176,0.0441,-0.1101,0.0922,-0.0999,0.0612
"155","RSNAPSATLC","Southern Atlantic coast","Red snapper","Lutjanus campechanus","Demersal"," ",0.02,0.02,-0.1215,0.0697,-0.1256,0.0321,-0.0947,0.0098
"156","SABLEFEBSAIGA","Eastern Bering Sea / Aleutian Islands / Gulf of Alaska","Sablefish","Anoplopoma fimbria","Demersal"," ",1.28,1.05,-0.015,-0.0163,-0.0126,-0.0085,-0.0051,-0.0123
"157","SABLEFPCOAST","Pacific Coast","Sablefish","Anoplopoma fimbria","Demersal","*",0.93,0.84,-0.0068,-0.0542,-0.0055,-0.015,-0.0089,-0.0099
"158","SARDNPAC","North Pacific","Sardine","Sardinops sagax","Pelagic","*",0.31,1.73,0.4959,0.0867,0.4736,0.0787,0.4155,0.087
"159","SARDPCOAST","Pacific Coast","Sardine","Sardinops sagax","Pelagic","*",NA,1.36,0.5457,0.0878,0.5053,0.0715,0.46,0.0714
"160","SARDPVIIIc-IXa","VIIIc-IXa","European pilchard","Sardina pilchardus","Pelagic",NA,NA,NA,-0.0033,-0.0094,0.0041,-0.0044,0.0233,0.0071
"161","SBELLYROCKPCOAST","Pacific Coast","Shortbelly rockfish","Sebastes jordani","Demersal",NA,NA,NA,-0.0181,-0.0222,-0.0249,-0.0774,-0.0245,-0.0589
"162","SBWHITACIR","New Zealand - Campbell Island Rise","Southern blue whiting","Micromesistius australis","Demersal"," ",0.56,1.15,-0.0131,0.0447,-0.0508,0.0202,-0.0646,0.0514
"163","SFLOUNMATLC","Mid-Atlantic Coast","Summer flounder","Paralichthys dentatus","Demersal"," ",0.18,0.72,-0.072,0.1143,-0.1371,0.0928,-0.0944,0.0943
"164","SILVERFISHSE","Southeast Australia","Silverfish","Seriolella punctata","Demersal"," ",1.17,1.03,-0.0384,-0.0214,-0.0285,-0.0139,-0.0442,-0.0093
"165","SKJCWPAC","Central Western Pacific","Skipjack tuna","Katsuwonus pelamis","Pelagic"," ",4,4.38,0.0184,-0.0036,0.0269,0.0099,0.0098,0.0065
"166","SMOOTHOREOCR","Chatham Rise","Smooth oreo","Pseudocyttus maculatus","Demersal"," ",2.99,2.25,-0.0243,-0.0226,-0.0213,-0.0206,-0.0222,-0.0203
"167","SMOOTHOREOWECR","West end of Chatham Rise","Smooth oreo","Pseudocyttus maculatus","Demersal"," ",1.59,1.25,-0.05,-0.0404,-0.0401,-0.0217,-0.0481,-0.0203
"168","SNOWGROUPSATLC","Southern Atlantic coast","Snowy grouper","Epinephelus niveatus","Demersal"," ",0.41,0.19,-0.0824,-0.0755,-0.0779,-0.0437,-0.0707,-0.0589
"169","SOLECS","Celtic Sea","common European sole","Solea vulgaris","Demersal","*",0.86,0.9,-0.0555,0.0275,-0.0538,0.0304,-0.048,0.0052
"170","SOLEIS","Irish Sea","common European sole","Solea vulgaris","Demersal","*",0.67,0.36,-0.0193,-0.0333,-0.0125,-0.0201,-0.0313,-0.0399
"171","SOLENS","North Sea","common European sole","Solea vulgaris","Demersal",NA,NA,NA,-0.0126,-0.0198,-0.0199,-0.0558,0.0058,-0.0674
"172","SOLEVIId","Eastern English Channel","common European sole","Solea vulgaris","Demersal",NA,NA,NA,0.0207,-0.0034,0.0057,-0.009,0.0223,0.0025
