"assessid","maxyr","total","bmsy","ratio"
"66","ICCAT-SKJEATL-1950-2006-JENSEN",1992,627898.05,383658,1.63660877656663
"67","ICCAT-SKJWATL-1952-2006-JENSEN",1992,163562.13,97261.2,1.68167912795647
"68","ICCAT-SWORDMED-1968-2006-JENSEN",1992,142000,117504,1.20846949891068
"69","ICCAT-SWORDNATL-1978-2007-JENSEN",1992,41628.75,45692.1,0.911071060424012
"70","ICCAT-SWORDSATL-1950-2005-JENSEN",1992,84490,60964.3,1.38589305544392
"71","ICCAT-YFINATL-1970-2006-JENSEN",1992,531100,448174,1.18503081392495
"72","IFOP-CHTRACCH-1975-2007-JENSEN",1992,21490200,19134500,1.12311270218715
"73","INIDEP-ARGANCHONARG-1989-2007-Parma",1992,843773.89,1168740,0.721951751458836
"74","INIDEP-ARGHAKENARG-1985-2007-Parma",1992,320566,332235,0.96487727060665
"75","INIDEP-ARGHAKESARG-1985-2008-Parma",1992,644873,724287,0.890355618698113
"76","INIDEP-PATGRENADIERSARG-1983-2006-Parma",1992,941294,1664560,0.565491180852598
"77","MARAM-ANCHOSA-1984-2006-deMoor",1992,1333175.45,1831850,0.727775445587794
"78","MARAM-CHAKESA-1917-2008-DEDECKER",1992,662478.7,432732,1.53092144791696
"79","MARAM-CTRACSA-1950-2007-Johnston",1992,614032,472492,1.29956062748152
"80","MARAM-KINGKLIPSA-1932-2008-DEDECKER",1992,82187,79489.4,1.03393660035175
"81","MARAM-SARDSA-1984-2006-deMoor",1992,482002.273,1860220,0.259110359527368
"82","MARAM-SSLOBSTERSASC-1973-2008-Johnston",1992,615.6,904.625,0.680502970844272
"83","NAFO-SC-AMPL3LNO-1955-2007-BAUM",1992,78729.48,562560,0.139948592150171
"84","NAFO-SC-AMPL3M-1960-2007-BAUM",1992,6563,14366,0.456842544897675
"85","NAFO-SC-COD3NO-1953-2007-BAUM",1992,20599,395435,0.0520919999494228
"86","NAFO-SC-GHAL23KLMNO-1960-2006-PREFONTAINE",1992,192107,194547,0.987458043557598
"87","NAFO-SC-REDFISHSPP3LN-1959-2007-PREFONTAINE",1992,85400,132175,0.64611310762247
"88","NAFO-SC-REDFISHSPP3LN-1959-2008-BAUM",1992,66710,140267,0.475592976252433
"89","NAFO-SC-REDFISHSPP3M-1989-2006-PREFONTAINE",1992,94966,156452,0.606997673407818
"90","NAFO-SC-YELL3LNO-1960-2009-BAUM",1992,21990,74120.8,0.296677855608682
"91","NEFSC-AMPL5YZ-1960-2008-OBRIEN",1992,16036.8,38834.6,0.412951337209602
"92","NEFSC-BLUEFISHATLC-1981-2007-SHEPHERD",1992,106547,189909,0.5610423939887
"93","NEFSC-BSBASSMATLC-1968-2007-SHEPHERD",1992,8539.51,10649.2,0.801892160913496
"94","NEFSC-CODGB-1960-2008-BAUM",1992,57855.5,130763,0.442445492991137
"95","NEFSC-CODGOM-1893-2008-BAUM",1992,23200,35817.9,0.64772083232127
"96","NEFSC-HAD5Y-1956-2008-BAUM",1992,1270,20102,0.0631777932544026
"97","NEFSC-MONKGOMNGB-1964-2006-RICHARDS",1992,66240,68431.7,0.96797244551867
"98","NEFSC-MONKSGBMATL-1964-2006-RICHARDS",1992,118800,78932,1.50509299143567
"99","NEFSC-SCALLGB-1964-2006-HART",1992,14476,51023.4,0.283712963071845
"100","NEFSC-SCALLMATLC-1964-2006-HART",1992,10366,85161.3,0.121721955864929
"101","NEFSC-SDOGATLC-1962-2006-SOSEBEE",1992,553730,281542,1.96677582740763
"102","NEFSC-SURFMATLC-1965-2008-JACOBSON",1992,1045000,577814,1.80854046457857
"103","NEFSC-TILEMATLC-1973-2008-NITSCHKE",1992,3830,9364.41,0.408995334463143
"104","NEFSC-WEAKFISHATLC-1980-2008-STANTON",1992,5609,24831.4,0.225883357362050
"105","NEFSC-WHAKEGBGOM-1963-2007-SOSEBEE",1992,36348.81,50198.5,0.724101516977599
"106","NEFSC-WINFLOUN5Z-1982-2007-HENDRICKSON",1992,6557,8113.19,0.808190120039097
"107","NEFSC-WINFLOUNSNEMATL-1940-2007-TERCEIRO",1992,8225,37478.9,0.219456814367551
"108","NEFSC-YELLGB-1935-2008-BAUM",1992,8154,33208,0.245543242592146
"109","NIWA-AUSSALMONNZ-1975-2006-JENSEN",1992,25800,22408.1,1.15136937089713
"110","NIWA-OROUGHYNZMEC-1981-2004-JENSEN",1992,193059.5,131808,1.46470244598203
"111","NMFS-MENATLAN-1940-2005-STANTON",1992,1152559.6,1479280,0.77913552539073
"112","NMFS-SARDNPAC-1981-2008-STANTON",1992,170236,549257,0.309938699006112
"113","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",1992,69484.4,48858.4,1.42215872807951
"114","NWFSC-BGROCKPCOAST-1950-2005-STANTON",1992,14509,16385.6,0.88547261009667
"115","NWFSC-BLACKROCKNPCOAST-1914-2006-BRANCH",1992,6437,6591.31,0.97658887231825
"116","NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH",1992,13474,14544.9,0.926372817963685
"117","NWFSC-BOCACCSPCOAST-1951-2006-BRANCH",1992,7552,33390.9,0.226169405436811
"118","NWFSC-CHILISPCOAST-1892-2007-BRANCH",1992,20340,22913.7,0.887678550386886
"119","NWFSC-COWCODSCAL-1900-2007-BRANCH",1992,175,2537.55,0.0689641583417075
"120","NWFSC-CROCKPCOAST-1916-2007-BRANCH",1992,16258,42326.6,0.384108338491634
"121","NWFSC-DKROCKPCOAST-1928-2007-BRANCH",1992,9101,17023.4,0.534617056522199
"122","NWFSC-ESOLEPCOAST-1876-2007-BRANCH",1992,22182,34901.5,0.63556007621449
"123","NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH",1992,75059.8,45714.6,1.64192183678737
"124","NWFSC-LSTHORNHPCOAST-1962-2005-STANTON",1992,205876,114779,1.79367305866056
"125","NWFSC-PHAKEPCOAST-1966-2008-BRANCH",1992,6022000,4860850,1.23887797401689
"126","NWFSC-POPERCHPCOAST-1953-2007-BRANCH",1992,19390.8,86898.2,0.223143862588638
"127","NWFSC-PSOLENPCOAST-1910-2005-STANTON",1992,4140,12444,0.332690453230473
"128","NWFSC-PSOLESPCOAST-1874-2005-STANTON",1992,2963,14116.6,0.209894733859428
"129","NWFSC-SABLEFPCOAST-1900-2007-BRANCH",1992,214457,231832,0.925053487007833
"130","NWFSC-SSTHORNHPCOAST-1901-2005-STANTON",1992,159067,93268.1,1.70548129531962
"131","NWFSC-WROCKPCOAST-1955-2006-BRANCH",1992,126355,131549,0.96051661358125
"132","NWFSC-YEYEROCKPCOAST-1923-2006-BRANCH",1992,2264.5,3444.44,0.657436332175912
"133","NWFSC-YTROCKNPCOAST-1967-2005-STANTON",1992,94183,99442.1,0.947113948719908
"134","NWWG-CAPEICE-1977-2007-MINTO",1992,2058000,2423830,0.849069447939831
"135","NWWG-CODFAPL-1959-2006-MINTO",1992,35557,99317.4,0.358013802213912
"136","NWWG-CODICE-1952-2006-MINTO",1992,546000,1475000,0.370169491525424
"137","NWWG-HADFAPL-1955-2006-MINTO",1992,29648,95793.6,0.309498755657998
"138","NWWG-HADICE-1977-2007-MINTO",1992,105951,305099,0.347267608218972
"139","NWWG-POLLFAPL-1958-2006-MINTO",1992,124705,240557,0.518401044243152
"140","NZMFishDEEPWATER-BLACKOREOWECR-1973-2007-JENSEN",1992,158070,112286,1.40774450955596
"141","NZMFishDEEPWATER-SMOOTHOREOCR-1979-2006-JENSEN",1992,246127,144956,1.69794282402936
"142","NZMFishDEEPWATER-SMOOTHOREOWECR-1973-2004-JENSEN",1992,75250.4,62066.6,1.21241376199115
"143","NZMFishHOKIWG-HOKIENZ-1972-2007-FRANCIS",1992,1085649,660648,1.64330929632724
"144","NZMFishHOKIWG-HOKIWNZ-1972-2007-FRANCIS",1992,1146357,1083490,1.05802268595003
"145","NZMFishINSHOREWG-NZSNAPNZ8-1931-2005-JENSEN",1992,12033.6,53383.8,0.225416699448147
"146","NZMFishINSHOREWG-TREVALLYTRE7-1944-2005-JENSEN",1992,34451,31283.1,1.10126553954052
"147","NZMFishLOBSTERWG-RROCKLOBSTERCRA1-1945-2001-JENSEN",1992,927.638,1550.94,0.598113402194798
"148","NZMFishLOBSTERWG-RROCKLOBSTERCRA2-1945-2001-JENSEN",1992,711.52,2233.71,0.318537321317449
"149","NZMFishLOBSTERWG-RROCKLOBSTERCRA4-1945-2005-JENSEN",1992,768.3245,2453.88,0.313105979102483
"150","NZMFishLOBSTERWG-RROCKLOBSTERCRA5-1945-2002-JENSEN",1992,527.741,4205.56,0.125486498825365
"151","NZMFishLOBSTERWG-RROCKLOBSTERCRA7-1976-2005-JENSEN",1992,218.0545,558.312,0.390560296035192
