\noindent For the following stocks, only a \verb|.doc| file was found:
CHAENOSGEORGIA,
SPOTSTROUTFLNW,
COHOFLYN,
SNOOKFLATLANTIC,
COHODEERFRY,
SNOOKFLGULF,
WHFSHPETCHORA,
SEELNS,

\noindent For the following stocks, only a \verb|.dat| file was found:
CHNKBLOSSOM,
WHSHERR,
COHOHUNTFRY,
COD4Vs,
HHERRHOKA,
 ANCHOYELLOW , Japanese anchovy , Yellow Sea 
 ARGEN4VWX , Atlantic argentine , NAFO 4VWX 
 ASALBBR , Atlantic salmon , Biscay Bay River Nfld CA 
 ASALBBRLRG , Atlantic salmon , Biscay Bay River Nfld CA 
 ASALBEC , Atlantic salmon , Bec-Scie Canada 
 ASALBUS1 , Atlantic salmon , River Bush Northern Ireland 
 ASALBUS2 , Atlantic salmon , River Bush Northern Ireland 
 ASALCNR , Atlantic salmon , Conne River Nfld CA 
 ASALCNR2 , Atlantic salmon , Conne River Nfld CA 
 ASALCNR2LRG , Atlantic salmon , Conne River Nfld CA 
 ASALCONSMOLT , Atlantic salmon , Conne River Nfld CA 
 ASALCONSMSA , Atlantic salmon , Conne River Nfld CA 
 ASALELLI , Atlantic salmon , Ellidaar River Iceland 
 ASALEXRBF , Atlantic salmon , Exploits River Bishop's Falls Nfld CA 
 ASALEXRBFFW , Atlantic salmon , Exploits River Bishop's Falls fishway Newfoundland Canada 
 ASALEXRBFLRG , Atlantic salmon , Exploits River Bishop's Falls Nfld CA 
 ASALEXRRBR , Atlantic salmon , Exploits River Gt. Rattling Brook Nfld CA 
 ASALEXRRBRLRG , Atlantic salmon , Exploits River Gt. Rattling Brook Nfld CA 
 ASALGIR2 , Atlantic salmon , Girnock Burn Scotland 
 ASALGIR3 , Atlantic salmon , Girnock Burn Scotland 
 ASALGIRN , Atlantic salmon , Girnock Burn Scotland 
 ASALGRGR , Atlantic salmon , Gander River Nfld CA 
 ASALGRGRLRG , Atlantic salmon , Gander River Nfld CA 
 ASALGRSBR , Atlantic salmon , Salmon Brook Gander River Nfld CA 
 ASALGRSBRLRG , Atlantic salmon , Salmon Brook Gander River Nfld CA 
 ASALHLR , Atlantic salmon , Highlands River Nfld CA 
 ASALHLRLRG , Atlantic salmon , Highlands River Nfld CA 
 ASALHUMR , Atlantic salmon , Humber River Nfld CA 
 ASALHUMRLRG , Atlantic salmon , Humber River Nfld CA 
 ASALLAHAVE , Atlantic salmon , Morgan Falls LaHave River N.S. Canada 
 ASALLCR , Atlantic salmon , Little Codroy River Canada 
 ASALLOMR , Atlantic salmon , Lomond River Nfld CA 
 ASALLOMRLRG , Atlantic salmon , Lomond River Nfld CA 
 ASALMAR , Atlantic salmon , Margaree River N.S. Canada 
 ASALMBR , Atlantic salmon , Middle Brook Nfld CA 
 ASALMBRLRG , Atlantic salmon , Middle Brook Nfld CA 
 ASALMIR , Atlantic salmon , Miramichi River N. B. Canada 
 ASALNEBR , Atlantic salmon , Northeast Brook Nfld CA 
 ASALNEBR2 , Atlantic salmon , Northeast Brook Nfld CA 
 ASALNEBR2LRG , Atlantic salmon , Northeast Brook Nfld CA 
 ASALNEPI , Atlantic salmon , Nepisiguit River N.B. Canada 
 ASALNER , Atlantic salmon , Northeast River Nfld CA 
 ASALNERLRG , Atlantic salmon , Northeast River Nfld CA 
 ASALPGBR , Atlantic salmon , Pinchgut Brook Nfld CA 
 ASALPGBRLRG , Atlantic salmon , Pinchgut Brook Nfld CA 
 ASALPOLL , Atlantic salmon , Pollett River Canada 
 ASALREST , Atlantic salmon , Restigouche River Canada 
 ASALRR , Atlantic salmon , Rocky River Nfld CA 
 ASALRR2 , Atlantic salmon , Rocky River Nfld CA 
 ASALRR2LRG , Atlantic salmon , Rocky River Nfld CA 
 ASALSAHLLG , Atlantic salmon , Samd Hill River Labrador Canada 
 ASALSAHLSM , Atlantic salmon , Samd Hill River Labrador Canada 
 ASALSHEBD1 , Atlantic salmon , Shelligan Burn Section D Scotland 
 ASALSHEBD2 , Atlantic salmon , Shelligan Burn Section D Scotland 
 ASALTNRLW , Atlantic salmon , Terra Nova River Lower fishway Nfld CA 
 ASALTNRLWLRG , Atlantic salmon , Terra Nova River Lower fishway Nfld CA 
 ASALTNRUP , Atlantic salmon , Terra Nova River Upper fishway Nfld CA 
 ASALTNRUPLRG , Atlantic salmon , Terra Nova River Upper fishway Nfld CA 
 ASALTOB , Atlantic salmon , Tobique River Canada 
 ASALTOBI1SW , Atlantic salmon , Tobique River N.B. Canada 
 ASALTOBIMSW , Atlantic salmon , Tobique River N.B. Canada 
 ASALTORR , Atlantic salmon , Torrent River Nfld CA 
 ASALTORRLRG , Atlantic salmon , Torrent River Nfld CA 
 ASALTRI , Atlantic salmon , Trinite Canada 
 ASALUME0 , Atlantic salmon , Rive Ume/Vindela Sweeden 
 ASALWARM , Atlantic salmon , Western Arm Brook Canada 
 ASALWARMSMGR , Atlantic salmon , Western Arm Brook Canada 
 ASALWARMSMO , Atlantic salmon , Western Arm Brook Canada 
 ASALWARMSMSA , Atlantic salmon , Western Arm Brook Canada 
 ASHADCON , Anadromous american shad , Connecticut River 
 ATKAALI , Atka mackerel , Eastern Bering Sea and Aleutian Islands 
 AYUBIWA , Ayu , Lake Biwa Japan 
 BCROAECS , Black croaker , East China Sea 
 BDUCK , Bombay duck , Northwest coast of India 
 BHERCHO , Blueback herring , Chowan River USA 
 BHERCON , Blueback herring , Connecticut River USA 
 BHERSTJON , Blueback herring , Saint John River 
 BHERSTJON2 , Blueback herring , Saint John River 
 BIGEYEATLANTIC , Bigeye Tuna , West Atlantic 
 BIGEYEEPACIFIC , Bigeye Tuna , East Pacific 
 BLOLMICH , Bloater , Lake Michigan 
 BLUEPIKELERIE , Blue pike , Eastern Lake Erie 
 BMONK , Black anglerfish , ICES VIIb-k and VIIIab. 
 BOCAEURCON , Bocaccio , W. U.S. 
 BRANWAK , Branquillo , Wakasa Bay 
 BREAMTJE , Bream , Lake Tjeukemeer the Netherlands 
 BRNTROBBBR1 , Brown Trout , Black Brows Beck 
 BRNTROBBBR2 , Brown Trout , Black Brows Beck 
 BRNTROBBBR3 , Brown Trout , Black Brows Beck 
 BRNTROBBBR4 , Brown Trout , Black Brows Beck 
 BRNTROBBBR5 , Brown Trout , Black Brows Beck 
 BRNTROWBAS0 , Brown Trout , Wilfin Beck Aug/Sept 
 BRNTROWBAS1 , Brown Trout , Wilfin Beck Aug/Sept 
