assessid, issueid, datesent, datereply, dateapproved, notes, qaqc
"NZMFishSHELLFISHWG-PAUAPAU5B-1963-2007-JENSEN",185,"2009-03-23",,"2011-06-10","benevolent dictator QAQC",1
"NZMFishSHELLFISHWG-PAUAPAU7-1964-2008-JENSEN",186,"2009-03-23",,"2011-06-10","benevolent dictator QAQC",1
"NZMFishDEEPWATER-BLACKOREOWECR-1973-2007-JENSEN",220,"2009-03-23",,"2011-06-10","benevolent dictator QAQC",1
"NMFS-MENATLAN-1940-2005-STANTON",399,"2009-06-10",,"2011-06-10","benevolent dictator QAQC",1
"ICCAT-SWORDSATL-1970-2005-JENSEN",247,"2009-09-30","2010-07-13","2010-07-14","",1
"ICCAT-SWORDNATL-1978-2007-JENSEN",249,"2009-09-30","2010-07-13","2010-07-14","",1
"NIWA-OROUGHYNZMEC-1981-2004-JENSEN",219,"2009-10-01",,"2011-06-10","benevolent dictator QAQC",1
"NAFO-SC-REDFISHSPP3LN-1959-2008-BAUM",351,"2009-10-02",,"2011-06-10","benevolent dictator QAQC",1
"IOTC-BIGEYEIO-1957-2006-JENSEN",241,"2009-11-02",,"2011-06-10","benevolent dictator QAQC",1
"MARAM-DEEPCHAKESA-1917-2008-DEDECKER",196,"2009-11-03",,"2011-06-10","benevolent dictator QAQC",1
"ASMFC-ATLCROAKMATLC-1973-2002-STANTON",414,"2009-11-03",,"2011-06-10","benevolent dictator QAQC",1
"SWFSC-SARDPCOAST-1981-2007-PINSKY",407,"2009-11-03",,"2011-06-10","benevolent dictator QAQC",1
"SWFSC-CMACKPCOAST-1929-2008-PINSKY",406,"2009-11-04","2009-11-04","2011-03-02","benevolent dictator QAQC",1
"MARAM-KINGKLIPSA-1932-2008-DEDECKER",201,"2009-11-04",,"2011-06-10","benevolent dictator QAQC",1
"MARAM-PTOOTHFISHPEI-1960-2008-DEDECKER",199,"2009-11-04",,"2011-06-10","benevolent dictator QAQC",1
"ADFG-HERRPWS-1980-2006-COLLIE",294,"2009-11-04",,"2011-06-10","benevolent dictator QAQC",1
"ADFG-HERRSITKA-1978-2007-COLLIE",293,"2009-11-05",,"2011-06-10","benevolent dictator QAQC",1
"MARAM-CHAKESA-1917-2008-DEDECKER",195,"2009-11-05",,"2011-06-10","benevolent dictator QAQC",1
"SWFSC-CALSCORPSCAL-1990-2005-STANTON",410,"2009-11-03",,"2011-06-10","benevolent dictator QAQC",1
"ICCAT-BIGEYEATL-1950-2005-JENSEN",245,"2009-11-05",,"2011-06-10","benevolent dictator QAQC",1
"ICCAT-SKJEATL-1950-2006-JENSEN",254,"2009-11-05",,"2011-06-10","benevolent dictator QAQC",1
"ICCAT-SKJWATL-1952-2006-JENSEN",253,"2009-11-05",,"2011-06-10","benevolent dictator QAQC",1
"ICCAT-YFINATL-1970-2006-JENSEN",252,"2009-11-05",,"2011-06-10","benevolent dictator QAQC",1
"AFSC-FLSOLEGA-1978-2008-STANTON",280,"2009-11-05",,,"",1
"AFSC-FLSOLEGA-1978-2010-Stachura",280,"2009-11-05",,"2011-06-10","benevolent dictator QAQC",1
"AFSC-REXSOLEGA-1979-2008-STANTON",279,"2009-11-05","2010-01-14","2010-07-27","",1
"AFSC-DSOLEGA-1978-2010-STANTON",291,"2009-11-05",,"2011-06-10","benevolent dictator QAQC",1
"SEFSC-SBARSHARATL-1975-2004-FAUCONNET",304,"2009-11-07",,"2011-06-10","benevolent dictator QAQC",1
"SPRFMO-CHTRACCH-1950-2010-RICARD",424,"2011-02-28","2011-02-28","2011-02-28","",1
"SEFSC-YTSNAPSATLCGM-1962-2001-STANTON",401,"2009-11-07",,"2011-06-10","benevolent dictator QAQC",1
"ASMFC-PANDALGOM-1960-2009-IDOINE",331,"2009-11-08",,"2011-06-10","benevolent dictator QAQC",1
"NWFSC-YTROCKNPCOAST-1967-2005-STANTON",335,"2009-11-08","2010-01-19","2010-03-19","",1
"PFMC-LINGCODNPCOAST-1956-2005-STANTON",345,"2009-11-09",,"2011-06-10","benevolent dictator QAQC",1
"PFMC-LINGCODSPCOAST-1956-2005-STANTON",346,"2009-11-09",,"2011-06-10","benevolent dictator QAQC",1
"SEFSC-SNOWGROUPSATLC-1961-2002-STANTON",358,"2009-11-09","2010-01-19","2010-03-17","",1
"SEFSC-TILESATLC-1961-2002-STANTON",357,"2009-11-09","2010-01-19","2010-03-17","",1
"NWFSC-BGROCKPCOAST-1950-2005-STANTON",336,"2009-11-09",,"2011-06-10","benevolent dictator QAQC",1
"NWFSC-PSOLESPCOAST-1874-2005-STANTON",341,"2009-11-10",,"2011-06-10","benevolent dictator QAQC",1
"NWFSC-PSOLENPCOAST-1910-2005-STANTON",342,"2009-11-10",,"2011-06-10","benevolent dictator QAQC",1
"NWFSC-SSTHORNHPCOAST-1901-2005-STANTON",334,"2009-11-07",,"2011-06-10","benevolent dictator QAQC",1
"NWFSC-LSTHORNHPCOAST-1962-2005-STANTON",348,"2009-11-10",,"2011-06-10","benevolent dictator QAQC",1
"SFI-WPOLLNSO-1985-1994-JENSEN",425,"2009-11-11",,"2011-06-10","benevolent dictator QAQC",1
"VNIRO-WPOLLWBS-1994-2004-JENSEN",426,"2009-11-11",,"2011-06-10","benevolent dictator QAQC",1
"ASMFC-LOBSTERGOM-1981-2007-STANTON",411,"2009-11-12",,"2011-06-10","benevolent dictator QAQC",1
"ASMFC-LOBSTERGB-1981-2007-STANTON",412,"2009-11-12","2010-01-14","2011-02-16","",1
"ASMFC-LOBSTERSNE-1981-2007-STANTON",413,"2009-11-12",,"2011-06-10","benevolent dictator QAQC",1
"NAFO-SC-COD3M-1959-2008-BAUM",350,"2009-11-13",,"2011-06-10","benevolent dictator QAQC",1
"MARAM-SAABALONESA-1951-2008-PLAGANYI",198,"2009-12-01",,"2011-06-10","benevolent dictator QAQC",1
"DFO-SG-SNOWCRABSGSL-1984-2007-ANDERSON",327,"2009-12-03",,"2011-06-10","benevolent dictator QAQC",1
"NIWA-AUSSALMONNZ-1975-2006-JENSEN",419,"2010-01-04",,"2011-06-10","benevolent dictator QAQC",1
"SEFSC-BTIPSHARATL-1981-2004-FAUCONNET",321,"2010-01-07",,"2011-06-10","benevolent dictator QAQC",1
"SEFSC-BTIPSHARGM-1981-2004-FAUCONNET",322,"2010-01-08",,"2011-06-10","benevolent dictator QAQC",1
"SEFSC-FTOOTHSHARATL-1976-2005-FAUCONNET",323,"2010-01-08",,"2011-06-10","benevolent dictator QAQC",1
"SEFSC-BNOSESHARATL-1950-2005-FAUCONNET",324,"2010-01-08",,"2011-06-10","benevolent dictator QAQC",1
"SEFSC-SNOSESHARATL-1950-2005-FAUCONNET",325,"2010-01-11",,"2011-06-10","benevolent dictator QAQC",1
"SEFSC-BHEADSHARATL-1950-2005-FAUCONNET",326,"2010-01-12",,"2011-06-10","benevolent dictator QAQC",1
"NWFSC-KELPGREENLINGORECOAST-1979-2005-STANTON",347,"2010-01-28",,"2011-06-10","benevolent dictator QAQC",1
"AFSC-CABEZNCAL-1916-2005-STANTON",338,"2010-01-29",,"2011-06-10","benevolent dictator QAQC",1
"AFSC-CABEZSCAL-1932-2005-STANTON",337,"2010-01-29",,"2011-06-10","benevolent dictator QAQC",1
"CCAMLR-ATOOTHFISHRS-1995-2007-JENSEN",420,"2010-01-29",,"2011-06-10","benevolent dictator QAQC",1
"NZMFishDEEPWATER-SMOOTHOREOCR-1979-2006-JENSEN",423,"2010-02-01",,"2011-06-10","benevolent dictator QAQC",1
"IMARM-SFMAKONWPAC-1990-2003-FAUCONNET",400,"2010-02-04","2010-02-04","2011-03-03","benevolent dictator QAQC",1
"NEFSC-ATHAL5YZ-1800-2007-COL",274,"2010-02-11",,"2011-06-10","benevolent dictator QAQC",1
"NEFSC-WINFLOUNSNEMATL-1940-2007-TERCEIRO",117,"2010-02-11",,"2011-06-10","benevolent dictator QAQC",1
"NEFSC-YELLGB-1935-2008-BAUM",12,"2010-02-11",,"2011-06-10","benevolent dictator QAQC",1
"NEFSC-HADGB-1930-2008-BAUM",82,"2010-02-11",,"2011-06-10","benevolent dictator QAQC",1
"NEFSC-HAD5Y-1956-2008-BAUM",116,"2010-02-11",,"2011-06-10","benevolent dictator QAQC",1
"NEFSC-CODGOM-1893-2008-BAUM",110,"2010-02-11",,"2011-06-10","benevolent dictator QAQC",1
"NEFSC-WITFLOUN5Y-1982-2008-WIGLEY",114,"2010-02-11",,"2011-06-10","benevolent dictator QAQC",1
"NEFSC-AMPL5YZ-1960-2008-OBRIEN",112,"2010-02-11",,"2011-06-10","benevolent dictator QAQC",1
"NEFSC-SFLOUNMATLC-1940-2007-BAUM",,"2010-02-11",,"2011-06-10","benevolent dictator QAQC",1
"NEFSC-YELLCCODGOM-1935-2008-LEGAULT",111,"2010-02-11",,"2011-06-10","benevolent dictator QAQC",1
"NEFSC-OPOUTNWATLC-1962-2008-WIGLEY",113,"2010-02-11",,"2011-06-10","benevolent dictator QAQC",1
"NEFSC-YELLSNEMATL-1935-2008-BAUM",14,"2010-02-11",,"2011-06-10","benevolent dictator QAQC",1
"NEFSC-CODGB-1960-2008-BAUM",109,"2010-02-11",,"2011-06-10","benevolent dictator QAQC",1
"NEFSC-WINFLOUN5Z-1982-2007-HENDRICKSON",330,"2010-02-11","2011-03-02","2011-03-02","benevolent dictator QAQC",1
"NEFSC-ILLEXNWATLC-1967-2005-HENDRICKSON",332,"2010-02-11",,"2011-06-10","benevolent dictator QAQC",1
"NEFSC-MACKGOMCHATT-1960-2005-OVERHOLTZ",299,"2010-02-11",,"2011-06-10","benevolent dictator QAQC",1
"NEFSC-WINFLOUND5Y-1982-2008-NITSCHKE",316,"2010-02-11",,"2011-06-10","benevolent dictator QAQC",1
"NEFSC-WINDOWGOMGB-1975-2007-HENDRICKSON",329,"2010-02-11",,"2011-06-10","benevolent dictator QAQC",1
"NEFSC-SCUPNWATLC-1960-2007-TERCEIRO",296,"2010-02-11",,"2011-06-10","benevolent dictator QAQC",1
"NEFSC-WINDOWSNEMATL-1975-2007-HENDRICKSON",328,"2010-02-11",,"2011-06-10","benevolent dictator QAQC",1
"NEFSC-MONKSGBMATL-1964-2006-RICHARDS",320,"2010-02-11",,"2011-06-10","benevolent dictator QAQC",1
"NEFSC-WHAKEGBGOM-1963-2007-SOSEBEE",415,"2010-02-11",,"2011-06-10","benevolent dictator QAQC",1
"NEFSC-SHAKEGOMNGB-1955-2005-COL",287,"2010-02-11",,"2011-06-10","benevolent dictator QAQC",1
"NEFSC-SHAKESGBMATL-1955-2005-COL",288,"2010-02-11",,"2011-06-10","benevolent dictator QAQC",1
"NEFSC-MONKGOMNGB-1964-2006-RICHARDS",319,"2010-02-11",,"2011-06-10","benevolent dictator QAQC",1
"NEFSC-POLL5YZ-1963-2007-MAYO",275,"2010-02-11",,"2011-06-10","benevolent dictator QAQC",1
"NEFSC-HERRNWATLC-1960-2005-OVERHOLTZ",295,"2010-02-11",,"2011-06-10","benevolent dictator QAQC",1
"NEFSC-BUTTERGOMCHATT-1965-2005-OVERHOLTZ",300,"2010-02-11",,"2011-06-10","benevolent dictator QAQC",1
"NEFSC-BSBASSMATLC-1968-2007-SHEPHERD",292,"2010-02-11",,"2011-06-10","benevolent dictator QAQC",1
"NEFSC-STRIPEDBASSGOMCHATT-1982-2006-SHEPHERD",298,"2010-02-11",,"2011-06-10","benevolent dictator QAQC",1
"NEFSC-BLUEFISHATLC-1981-2007-SHEPHERD",303,"2010-02-11","2010-11-06","2011-03-02","benevolent dictator QAQC",1
"NEFSC-TILEMATLC-1973-2008-NITSCHKE",315,"2010-02-11",,"2011-06-10","benevolent dictator QAQC",1
"NEFSC-ACADREDGOMGB-1913-2007-MILLER",317,"2010-02-11",,"2011-06-10","benevolent dictator QAQC",1
"NEFSC-SCALLMATLC-1964-2006-HART",418,"2010-02-11",,"2011-06-10","benevolent dictator QAQC",1
"NEFSC-SCALLGB-1964-2006-HART",417,"2010-02-11",,"2011-06-10","benevolent dictator QAQC",1
"NEFSC-RDEEPCRABNWATL-1982-2008-CHUTE",349,"2010-02-11",,"2011-06-10","benevolent dictator QAQC",1
"NEFSC-SDOGATLC-1962-2006-SOSEBEE",427,"2010-02-11",,"2011-06-10","benevolent dictator QAQC",1
"NEFSC-BSKAT5YZSNE-1963-2005-SOSEBEE",428,"2010-02-11",,"2011-06-10","benevolent dictator QAQC",1
"NEFSC-CSKATMATLC-1975-2005-SOSEBEE",429,"2010-02-11",,"2011-06-10","benevolent dictator QAQC",1
"NEFSC-LSKAT5YCHATT-1968-2006-SOSEBEE",430,"2010-02-11",,"2011-06-10","benevolent dictator QAQC",1
"NEFSC-RSKATMATLC-1967-2005-SOSEBEE",431,"2010-02-11",,"2011-06-10","benevolent dictator QAQC",1
"NEFSC-SSKAT5YZSNE-1963-2005-SOSEBEE",432,"2010-02-11",,"2011-06-10","benevolent dictator QAQC",1
"NEFSC-TSKAT5YZSNE-1963-2005-SOSEBEE",433,"2010-02-11",,"2011-06-10","benevolent dictator QAQC",1
"NEFSC-WSKAT5YCHATT-1967-2005-SOSEBEE",434,"2010-02-11",,"2011-06-10","benevolent dictator QAQC",1
"NEFSC-SURFMATLC-1965-2008-JACOBSON",436,"2010-02-11",,"2011-06-10","benevolent dictator QAQC",1
"NEFSC-QUAHATLC-1978-2008-CHUTE",437,"2010-02-11",,"2011-06-10","benevolent dictator QAQC",1
"NEFSC-WEAKFISHATLC-1981-2008-STANTON",449,"2010-03-12","2010-06-29","2010-07-28","",1
"SEFSC-RSNAPEGM-1872-2003-STANTON",455,"2010-05-12",,"2011-06-10","benevolent dictator QAQC",1
"SEFSC-RSNAPWGM-1880-2003-STANTON",456,"2010-05-12",,"2011-06-10","benevolent dictator QAQC",1
"IMARPE-PANCHPERUNC-1963-2004-RICARD",458,"2010-07-21","2010-07-21","2010-07-21","",1
"CSERG-ANCHOVYKILKACS-1991-2007-JENSEN",460,"2011-01-14",,"2011-06-10","benevolent dictator QAQC",1
"SPC-STMARLINSWPO-1950-2004-JENSEN",469,"2011-02-24",,"2011-06-10","benevolent dictator QAQC",1
"DFO-NFLD-COD2J3KL-1850-2005-RICARD",474,"2011-02-11",,"2011-06-10","benevolent dictator QAQC",1
"CCSBT-SC-SBT-1931-2009-Parma",475,"2011-02-17",,"2011-06-10","benevolent dictator QAQC",1
"DFO-PAC-SABLEFPCAN-1913-2004-STANTON",454,"2011-02-24",,"2011-06-10","benevolent dictator QAQC",1
"CSIRO-PTOOTHFISHMI-1975-2010-FAY",472,"2011-02-24",,"2011-06-10","benevolent dictator QAQC",1
"DFO-MAR-CUSK4X-1970-2007-RICARD",476,"2011-03-01","2011-03-01","2011-03-02","",1
