assessid, issueid, datesent, datereply, dateapproved, notes, qaqc
"NAFO-SC-REDFISHSPP1-1965-2004-PREFONTAINE",172,"2009-03-13",,"2011-06-10","benevolent dictator QAQC",1
"NAFO-SC-REDFISHSPP3M-1989-2006-PREFONTAINE",173,"2009-03-13",,"2011-06-10","benevolent dictator QAQC",1
"DFO-NFLD-REDFISHSPP23K-1959-2001-PREFONTAINE",175,"2009-03-13",,"2011-06-10","benevolent dictator QAQC",1
"DFO-QUE-REDFISHSPP3Pn4RSTVn-1953-2000-PREFONTAINE",176,"2009-03-13",,"2011-06-10","benevolent dictator QAQC",1
"NAFO-SC-YELL3LNO-1960-2009-BAUM",353,"2010-01-07",,"2011-06-10","benevolent dictator QAQC",1
"DFO-NFLD-AMPL3Ps-1960-2005-PREFONTAINE",178,"2009-03-13",,"2011-06-10","benevolent dictator QAQC",1
"DFO-POLL4VWX5Zc-1974-2007-PREFONTAINE",179,"2009-03-13",,"2011-06-10","benevolent dictator QAQC",1
"INIDEP-ARGHAKESARG-1985-2008-Parma",103,"2009-03-17","2009-04-22","2009-04-23","",1
"INIDEP-ARGHAKENARG-1985-2007-Parma",104,"2009-03-17","2009-04-22","2009-04-23","",1
"INIDEP-SBWHITARGS-1985-2007-Parma",119,"2009-03-17","2009-04-22","2009-04-23","",1
"INIDEP-ARGANCHOSARG-1992-2007-Parma",121,"2009-03-17","2009-04-22","2009-04-23","",1
"INIDEP-ARGANCHONARG-1989-2007-Parma",122,"2009-03-17","2009-04-22","2009-04-23","",1
"INIDEP-PATGRENADIERSARG-1983-2006-Parma",148,"2009-03-17","2009-04-22","2009-04-23","",1
"IPHC-PHALNPAC-1988-2009-Parma",187,"2009-03-17","2009-04-22","2009-04-23","",1
"MARAM-ANCHOSA-1984-2006-deMoor",126,"2009-03-13","2009-03-23","2010-06-14","",1
"MARAM-SARDSA-1984-2006-deMoor",127,"2009-03-13","2009-03-23","2011-06-10","benevolent dictator QAQC",1
"MARAM-SSLOBSTERSASC-1973-2008-Johnston",133,"2009-03-13","2009-03-24","2011-03-02","",1
"MARAM-CTRACSA-1950-2007-Johnston",134,"2009-03-13",,"2011-06-10","benevolent dictator QAQC",1
