stockid,tsn,scientificname,commonname,areaid,stocklong,inMYERSDB,MYERSstockid
"PCODBSAI",164711,"Gadus macrocephalus","Pacific cod","USA-NMFS-BSAI","Pacific cod Bering Sea and Aleutian Islands",0,NULL
"YSOLEBSAI",172907,"Limanda aspera","Yellowfin sole","USA-NMFS-BSAI","Yellowfin sole Bering Sea and Aleutian Islands",0,NULL
"NRSOLEBSAI",616392,"Lepidopsetta polyxystra","Northern rock sole","USA-NMFS-BSAI","Northern rock sole Bering Sea and Aleutian Islands",0,NULL
"ARFLOUNDBSAI",616029,"Reinhardtius stomias","Arrowtooth flounder","USA-NMFS-BSAI","Arrowtooth flounder Bering Sea and Aleutian Islands",0,NULL
"ALPLAICBSAI",172901,"Pleuronectes quadrituberculatus","Alaska plaice","USA-NMFS-BSAI","Alaska plaice Bering Sea and Aleutian Islands",0,NULL
"NROCKBSAI",166735,"Sebastes polyspinis","Northern rockfish","USA-NMFS-BSAI","Northern rockfish Bering Sea and Aleutian Islands",0,NULL
"POPERCHBSAI",166707,"Sebastes alutus","Pacific ocean perch","USA-NMFS-BSAI","Pacific ocean perch Bering Sea and Aleutian Islands",0,NULL
"REYEROCKBSAI",166706,"Sebastes aleutianus","Rougheye rockfish","USA-NMFS-BSAI","Rougheye rockfish Bering Sea and Aleutian Islands",0,NULL
"ATKABSAI",167120,"Pleurogrammus monopterygius","Atka mackerel","USA-NMFS-BSAI","Atka mackerel Bering Sea and Aleutian Islands",0,NULL
"FLSOLEBSAI",172875,"Hippoglossoides elassodon","Flathead sole","USA-NMFS-BSAI","Flathead sole Bering Sea and Aleutian Islands",0,NULL
"WPOLLAI",164722,"Theragra chalcogramma","Walleye pollock","USA-NMFS-AI","Walleye pollock Aleutian Islands",0,NULL
"WPOLLEBS",164722,"Theragra chalcogramma","Walleye pollock","USA-NMFS-EBS","Walleye pollock Eastern Bering Sea",1,"WPOLLEBS"
"GHALBSAI",172930,"Reinhardtius hippoglossoides","Greenland halibut","USA-NMFS-BSAI","Greenland turbot Bering Sea and Aleutian Islands",1,"GHALEBS"
"BKINGCRABSMI",97936,"Paralithodes platypus","Blue king crab","USA-NMFS-SMI","Blue king crab Saint Matthews Island",0,NULL
"BKINGCRABPI",97936,"Paralithodes platypus","Blue king crab","USA-NMFS-PI","Blue king crab Pribilof Islands",0,NULL
"RKCRABBB",97935,"Paralithodes camtschaticus","Red king crab","USA-NMFS-BB","Red king crab Bristol Bay",1,"RKCRABBRIS"
"SNOWCRABBS",98428,"Chionoecetes opilio","Snow crab","USA-NMFS-BS","Snow crab Bering Sea",0,NULL
"POPERCHGA",166707,"Sebastes alutus","Pacific ocean perch","USA-NMFS-GA","Pacific ocean perch Gulf of Alaska",1,"PERCHGA"
"DUSKYROCKGA",166714,"Sebastes ciliatus","Dusky rockfish","USA-NMFS-GA","Dusky rockfish Gulf of Alaska",0,NULL
"DSOLEGA",172887,"Microstomus pacificus","Dover sole","USA-NMFS-GA","Dover sole Gulf of Alaska",0,NULL
"DSOLEPCOAST",172887,"Microstomus pacificus","Dover sole","USA-NMFS-PCOAST","Dover sole Pacific Coast",0,NULL
"WPOLLGA",164722,"Theragra chalcogramma","Walleye pollock","USA-NMFS-GA","Walleye pollock Gulf of Alaska",1,"WPOLLGA"
"SPANMACKSATLC",172436,"Scomberomorus maculatus","Spanish mackerel","USA-NMFS-SATLC","Spanish mackerel Southern Atlantic Coast",0,NULL
"SPANMACKGM",172436,"Scomberomorus maculatus","Spanish mackerel","USA-NMFS-GM","Spanish mackerel Gulf of Mexico",0,NULL
"KMACKSATLC",172435,"Scomberomorus cavalla","King Mackerel","USA-NMFS-SATLC","King mackerel Southern Atlantic Coast",0,NULL
"KMACKGM",172435,"Scomberomorus cavalla","King Mackerel","USA-NMFS-GM","King mackerel Gulf of Mexico",0,NULL
"RGROUPGM",167702,"Epinephelus morio","Red grouper","USA-NMFS-GM","Red grouper Gulf of Mexico",0,NULL
"GAGGM",167759,"Mycteroperca microlepis","Gag","USA-NMFS-GM","Gag Gulf of Mexico",0,NULL
"GTRIGGM",173138,"Balistes capriscus","Gray triggerfish","USA-NMFS-GM","Gray triggerfish Gulf of Mexico",0,NULL
"VSNAPGM",168909,"Rhomboplites aurorubens","Vermilion snapper","USA-NMFS-GM","Vermilion snapper Gulf of Mexico",0,NULL
"GRAMBERGM",168689,"Seriola dumerili","Greater amberjack","USA-NMFS-GM","Greater amberjack Gulf of Mexico",0,NULL
"BRNSHRIMPGM",551570,"Farfantepenaeus aztecus","Brown shrimp","USA-NMFS-GM","Brown shrimp Gulf of Mexico",0,NULL
"WSHRIMPGM",551680,"Litopenaeus setiferus","White shrimp","USA-NMFS-GM","White shrimp Gulf of Mexico",0,NULL
"PINKSHRIMPGM",551574,"Farfantepenaeus duorarum","Pink shrimp","USA-NMFS-GM","Pink shrimp Gulf of Mexico",0,NULL
"ROYALRSHRIMPGM",95966,"Pleoticus robustus","Royal red shrimp","USA-NMFS-GM","Royal red shrimp Gulf of Mexico",0,NULL
"SNOSESHARATL",160200,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","USA-NMFS-ATL","Atlantic sharpnose shark Atlantic",0,NULL
"BNOSESHARATL",160304,"Carcharhinus acronotus","Blacknose shark","USA-NMFS-ATL","Blacknose shark Atlantic",0,NULL
"BHEADSHARATL",160502,"Sphyrna tiburo","Bonnethead shark","USA-NMFS-ATL","Bonnethead shark Atlantic",0,NULL
"FTOOTHSHARATL",160409,"Carcharhinus isodon","Finetooth shark","USA-NMFS-ATL","Finetooth shark Atlantic",0,NULL
"SBARSHARATL",160289,"Carcharhinus plumbeus","Sandbar shark","USA-NMFS-ATL","Sandbar shark Atlantic",0,NULL
"BRNSHRIMPSATLC",551570,"Farfantepenaeus aztecus","Brown shrimp","USA-NMFS-SATLC","Brown shrimp Southern Atlantic Coast",0,NULL
"WSHRIMPSATLC",551680,"Litopenaeus setiferus","White shrimp","USA-NMFS-SATLC","White shrimp Southern Atlantic Coast",0,NULL
"PINKSHRIMPSATLC",551574,"Farfantepenaeus duorarum","Pink shrimp","USA-NMFS-SATLC","Pink shrimp Southern Atlantic Coast",0,NULL
"RPORGYSATLC",169207,"Pagrus pagrus","Red porgy","USA-NMFS-SATLC","Red porgy Southern Atlantic coast",0,NULL
"VSNAPSATLC",168909,"Rhomboplites aurorubens","Vermilion snapper","USA-NMFS-SATLC","Vermilion snapper Southern Atlantic coast",0,NULL
"SNOWGROUPSATLC",167705,"Epinephelus niveatus","Snowy grouper","USA-NMFS-SATLC","Snowy grouper Southern Atlantic coast",0,NULL
"TILESATLC",168546,"Lopholatilus chamaeleonticeps","Tilefish","USA-NMFS-SATLC","Tilefish Southern Atlantic coast",0,NULL
"GAGSATLC",167759,"Mycteroperca microlepis","Gag","USA-NMFS-SATLC","Gag Southern Atlantic coast",0,NULL
"RSNAPSATLC",168853,"Lutjanus campechanus","Red snapper","USA-NMFS-SATLC","Red snapper Southern Atlantic coast",0,NULL
"GRAMBERSATLC",168689,"Seriola dumerili","Greater amberjack","USA-NMFS-SATLC","Greater amberjack Southern Atlantic coast",0,NULL
"YFINATL",172423,"Thunnus albacares","Yellowfin tuna","USA-NMFS-ATL","Yellowfin tuna Atlantic",0,NULL
"BTIPSHARATL",160318,"Carcharhinus limbatus","Blacktip shark","USA-NMFS-ATL","Blacktip shark Atlantic",0,NULL
"DUSKYSHARATL",160268,"Carcharhinus obscurus","Dusky shark","USA-NMFS-ATL","Dusky shark Atlantic",0,NULL
"BIGEYEATL",172428,"Thunnus obesus","Bigeye tuna","USA-NMFS-ATL","Bigeye tuna Atlantic",1,"BIGEYEATLANTIC"
"BIGEYEEPAC",172428,"Thunnus obesus","Bigeye tuna","multinational-IATTC-EPAC","Bigeye tuna Eastern Pacific",1,"BIGEYEEPACIFIC"
"BIGEYEWPO",172428,"Thunnus obesus","Bigeye tuna","multinational-SPC-WPO","Bigeye tuna Western Pacific Ocean",0,NULL
"CMACKPCOAST",172412,"Scomber japonicus","Pacific chub mackerel","USA-NMFS-PCOAST","Pacific chub mackerel Pacific Coast",0,NULL
"CMACKNPAC",172412,"Scomber japonicus","Pacific chub mackerel","USA-NMFS-NPAC","Pacific chub mackerel North Pacific",0,NULL
"BTIPSHARSATL",160318,"Carcharhinus limbatus","Blacktip shark","USA-NMFS-SATL","Blacktip shark South Atlantic",0,NULL
"SWORDNATL",172482,"Xiphias gladius","Swordfish","multinational-ICCAT-NATL","Swordfish North Atlantic",1,"SWORDNA"
"SWORDSATL",172482,"Xiphias gladius","Swordfish","multinational-ICCAT-SATL","Swordfish South Atlantic",1,"SWORDSA"
"SWORDMED",172482,"Xiphias gladius","Swordfish","multinational-ICCAT-MED","Swordfish Mediterranean Sea",0,NULL
"ATBTUNAWATL",172421,"Thunnus thynnus","Atlantic bluefin tuna","USA-NMFS-WATL","Bluefin tuna Western Atlantic",1,"BTUNAWA"
"SARDPCOAST",161729,"Sardinops sagax","Pacific sardine","USA-NMFS-PCOAST","Pacific sardine Pacific Coast",0,NULL
"SARDNPAC",161729,"Sardinops sagax","Pacific sardine","USA-NMFS-NPAC","Pacific sardine North Pacific",0,NULL
"SRAKEROCKBSAI",166712,"Sebastes borealis","Shortraker rockfish","USA-NMFS-BSAI","Shortraker rockfish Bering Sea and Aleutian Islands",0,NULL
"YFINCWPAC",172423,"Thunnus albacares","Yellowfin tuna","USA-NMFS-CWPAC","Yellowfin tuna Central Western Pacific",0,NULL
"YFINEPAC",172423,"Thunnus albacares","Yellowfin tuna","multinational-IATTC-NEPAC","Yellowfin tuna Eastern Pacific",1,"YFINNEPAC"
"BSBASSSATLC",167687,"Centropristis striata","Black seabass","USA-NMFS-SATLC","Black seabass Southern Atlantic coast",0,NULL
"HERRWCVANI",551209,"Clupea pallasii","Pacific herring","Canada-DFO-WCVANI","Pacific herring West Coast of Vancouver Island",0,NULL
"HERRQCI",551209,"Clupea pallasii","Pacific herring","Canada-DFO-QCI","Pacific herring Queen Charlotte Islands",0,NULL
"HERRCC",551209,"Clupea pallasii","Pacific herring","Canada-DFO-CC","Pacific herring Central Coast",0,NULL
"HERRPRD",551209,"Clupea pallasii","Pacific herring","Canada-DFO-CC","Pacific herring Prince Rupert District",0,NULL
"HERRSOG",551209,"Clupea pallasii","Pacific herring","Canada-DFO-SOG","Pacific herring Straight of Georgia",0,NULL
"HERR4VWX",161722,"Clupea harengus","Herring","multinational-NAFO-4VWX","Herring Scotian Shelf and Bay of Fundy",0,NULL
"HERR4RFA",161722,"Clupea harengus","Herring","multinational-NAFO-4R","Herring NAFO 4R fall spawners",0,NULL
"HERR4RSP",161722,"Clupea harengus","Herring","multinational-NAFO-4R","Herring NAFO 4R spring spawners",0,NULL
"GHAL01ABCDEF",172930,"Reinhardtius hippoglossoides","Greenland halibut","multinational-NAFO-01ABCDEF","Greenland halibut NAFO 01ABCDEF",0,NULL
"GHAL23KLMNO",172930,"Reinhardtius hippoglossoides","Greenland halibut","multinational-NAFO-23KLMNO","Greenland halibut NAFO 23KLMNO",1,"GHALNAFO23"
"GHAL4RST",172930,"Reinhardtius hippoglossoides","Greenland halibut","Canada-DFO-4RTS","Greenland halibut NAFO 4RTS",0,NULL
"HOKIENZ",623193,"Macruronus novaezelandiae","Hoki","New Zealand-MFish-ENZ","Hoki Eastern New Zealand",0,NULL
"HOKIWNZ",623193,"Macruronus novaezelandiae","Hoki","New Zealand-MFish-WNZ","Hoki Western New Zealand",0,NULL
"BTROHUNT",162003,"Salvelinus fontinalis","Freshwater brook trout","USA-NMFS-HUNT","Freshwater brook trout Hunt Creek Michigan",1,"BTROHUNT"
"WHITBLACKW",164758,"Merlangius merlangus","Whiting","multinational-GFCMED-BLACKW","Whiting Western Black Sea",1,"WHITBLACKW"
"YPERKAB",168469,"Perca flavescens","Yellow perch","USA-NMFS-KAB","Yellow perch Kabegogama Lake, Minnesota",1,"YPERKAB"
"SKJCWPAC",172401,"Katsuwonus pelamis","Skipjack tuna","USA-NMFS-CWPAC","Skipjack tuna Central Western Pacific",0,NULL
"SKJEATL",172401,"Katsuwonus pelamis","Skipjack tuna","multinational-ICCAT-EATL","Skipjack tuna Eastern Atlantic",0,NULL
"SKJWATL",172401,"Katsuwonus pelamis","Skipjack tuna","multinational-ICCAT-WATL","Skipjack tuna Western Atlantic",0,NULL
"HAKENRTN",164795,"Merluccius merluccius","Hake","multinational-ICES-II-IIIa-IV-VI-VII-VIIIabc","Hake Northeast Atlantic North",0,NULL
"HAKESOTH",164795,"Merluccius merluccius","Hake","multinational-ICES-VIIIc-IXa","Hake Northeast Atlantic South",0,NULL
"ANCHOBAYB",161831,"Engraulis encrasicolus","Anchovy","multinational-ICES-VIII","Anchovy ICES VIII",1,"ANCHOBAYB"
"MACKNEICES",172414,"Scomber scombrus","Mackerel","multinational-ICES-IIa-IIIabd-IV-Vb-VI-VII-VIIIabcde-XII-XIV-Ixa","Mackerel ICES Northeast Atlantic",1,"MACKNEICES"
"FMEG8c9a",172834,"Lepidorhombus boscii","Fourspotted megrim","multinational-ICES-VIIIc-IXa","Fourspotted megrim ICES VIIIc-IXa",1,"MEG8c9a"
"MEG8c9a",172835,"Lepidorhombus whiffiagonis","Megrim","multinational-ICES-VIIIc-IXa","Megrim ICES VIIIc-IXa",1,"MEG8c9a"
"SARDPVIIIc-IXa",161813,"Sardina pilchardus","European pilchard","multinational-ICES-VIIIc-IXa","European pilchard ICES VIIIc-IXa",1,"SARDVIIIc-IXa"
"BTSHRIMPNAUST",95625,"Penaeus esculentus","Brown tiger shrimp","Australia-AFMA-NAUST","Northern Australia brown tiger shrimp",0,NULL
"GTPRAWNNAUST",95625,"Penaeus semisulcatus","Grooved Tiger Prawn","Australia-AFMA-NAUST","Northern Australia grooved Tiger Prawn",0,NULL
"OROUGHYCASCADE",166139,"Hoplostethus atlanticus","Orange roughy","Australia-AFMA-CASCADE","Orange roughy Cascade Plateau",0,NULL
"OROUGHYSESSF",166139,"Hoplostethus atlanticus","Orange roughy","Australia-AFMA-SESSF","Orange roughy Southeast Australia",0,NULL
"WAREHOUESE",172531,"Seriolella brama","Blue Warehou","Australia-AFMA-ESE","Blue Warehou Eastern half of Southeast Australia",0,NULL
"WAREHOUWSE",172531,"Seriolella brama","Blue Warehou","Australia-AFMA-WSE","Blue Warehou Western half of Southeast Australia",0,NULL
"DEEPFLATHEADSESSF",644351,"Platycephalus conatus","Deepwater flathead","Australia-AFMA-SESSF","Deepwater flathead Southeast Australia",0,NULL
"BIGHTREDSESSF",622143,"Centroberyx gerrardi","Bight redfish","Australia-AFMA-SESSF","Bight redfish Southeast Australia",0,NULL
"BWHITNEA",164774,"Micromesistius poutassou","Blue whiting","multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV","Whiting Northeast Atlantic",0,NULL
"ARGHAKESARG",164800,"Merluccius hubbsi","Argentine hake","Argentina-INIDEP-ARG-S","Argentine hake Southern Argentina",0,NULL
"ARGHAKENARG",164800,"Merluccius hubbsi","Argentine hake","Argentina-INIDEP-ARG-N","Argentine hake Northern Argentina",0,NULL
"ARGANCHONARG",551338,"Engraulis anchoita","Argentine anchoita","Argentina-INIDEP-ARG-N","Argentine anchoita Northern Argentina",0,NULL
"TASGIANTCRABTAS",-999,"Pseudocarcinus gigas","Tasmanian giant crab","Australia-AFMA-TAS",0,NULL
"RSOLEHSTR",172917,"Lepidopsetta bilineata","Rock sole","Canada-DFO-HS","Rock sole Hecate Strait",0,NULL
"MUTSNAPSATLCGM",168849,"Lutjanus analis","Mutton snapper","USA-NMFS-SATLCGM","Mutton snapper Southern Atlantic coast and Gulf of Mexico",0,NULL
"MENATGM",161734,"Brevoortia patronus","Gulf menhaden","USA-NMFS-GM","Gulf menhaden Gulf of Mexico",1,"MENGULF"
"ESOLEHS",172921,"Parophrys vetulus","English sole","Canada-DFO-HS","English sole Hecate Strait",0,NULL
"SBWHITARGS",164775,"Micromesistius australis","Southern blue whiting", "Argentina-INIDEP-ARG-S", "Southern blue whiting Southern Argentina",0,NULL
"ANCHOSA",161831,"Engraulis encrasicolus","Anchovy","South Africa-DETMCM-SA","Anchovy South Africa",1,"SAANCH"
"DEEPCHAKESA",164796,"Merluccius paradoxus","Deep-water cape hake","South Africa-DETMCM-SA","Deep-water cape hake South Africa",0,NULL
"CHAKESA",164798,"Merluccius capensis","Shallow-water cape hake","South Africa-DETMCM-SA","Shallow-water cape hake South Africa",0,NULL
"SARDSA",161729,"Sardinops sagax","Sardine","South Africa-DETMCM-SA","Sardine South Africa",1,"SAPILCH"
"SSLOBSTERSASC",552965,"Palinurus gilchristi","Southern spiny lobster","South Africa-DETMCM-SASC","Southern spiny lobster South Africa South coast",0,NULL
"CTRACSA",168598,"Trachurus capensis","Cape horse mackerel","South Africa-DETMCM-SASC","Cape horse mackerel South Africa South coast",1,"SAHMACK"
"PATGRENADIERSARG",550662,"Macruronus magellanicus","Patagonian grenadier","Argentina-INIDEP-ARG-S","Patagonian grenadier Southern Argentina",0,NULL
"BSKATCANATL",564139,"Dipturus laevis","Barndoor skate","Canada-DFO-ATL","Barndoor skate Canadian Atlantic Ocean",0,NULL
"REDFISHSPP1",-998,"Redfish species","Redfish species","multinational-NAFO-1","Redfish species NAFO 1",0,NULL
"REDFISHSPP3M",-998,"Redfish species","Redfish species","multinational-NAFO-3M","Redfish species NAFO 3M",0,NULL
"REDFISHSPP3LN",-998,"Redfish species","Redfish species","multinational-NAFO-3LN","Redfish species NAFO 3LN",0,NULL
"OROUGHYNZMEC",166139,"Hoplostethus atlanticus","Orange roughy","New Zealand-MFish-NZMEC","Orange roughy New Zealand Mid East Coast",0,NULL
"BIGEYEIO",172428,"Thunnus obesus","Bigeye tuna","multinational-IOTC-IO","Bigeye tuna Indian Ocean",0,NULL
"ATLCROAKMATLC",169283,"Micropogonias undulatus","Atlantic croaker","USA-NMFS-MATLC","Atlantic croaker Mid-Atlantic Coast",0,NULL
"CALSCORPSCAL",166827,"Scorpaena guttata","California scorpionfish","USA-NMFS-SCAL","California scorpionfish Southern California",0,NULL
"HERRPWS",551209,"Clupea pallasii","Pacific herring","USA-US State-PWS","Pacific herring Prince William Sound",0,NULL
"HERRSITKA",551209,"Clupea pallasii","Pacific herring","USA-US State-SITKA","Pacific herring Sitka",0,NULL
"KINGKLIPSA",165001,"Genypterus capensis","Kingklip","South Africa-DETMCM-SA","Kingklip South Africa",0,NULL
"PTOOTHFISHPEI",642807,"Dissostichus eleginoides","Patagonian toothfish","South Africa-DETMCM-PEI","Patagonian toothfish South Africa Subantarctic Prince Edward Islands",0,NULL
"CHTRACCH",168597,"Trachurus murphyi","Chilean jack mackerel","multinational-SPRFMO-CH","Chilean jack mackerel Chilean EEZ and offshore",0,NULL
"SSTHORNHPCOAST",166783,"Sebastolobus alascanus","Shortspine thornyhead","USA-NMFS-PCOAST","Shortspine thornyhead Pacific Coast",0,NULL
"LSTHORNHPCOAST",166784,"Sebastolobus altivelis","Longspine thornyhead","USA-NMFS-PCOAST","Longspine thornyhead Pacific Coast",0,NULL
"YTSNAPSATLCGM",168907,"Ocyurus chrysurus","Yellowtail snapper","USA-NMFS-SATLCGM","Yellowtail snapper Southern Atlantic Coast and Gulf of Mexico",0,NULL
"YTROCKNPCOAST",166720,"Sebastes flavidus","Yellowtail rockfish","USA-NMFS-NPCOAST","Yellowtail rockfish Northern Pacific Coast",0,NULL
"LINGCODNPCOAST",167116,"Ophiodon elongatus","Lingcod","USA-NMFS-NPCOAST","Lingcod Northern Pacific Coast",0,NULL
"LINGCODSPCOAST",167116,"Ophiodon elongatus","Lingcod","USA-NMFS-SPCOAST","Lingcod Southern Pacific Coast",0,NULL
"BGROCKPCOAST",166728,"Sebastes melanostomus","Blackgill rockfish","USA-NMFS-PCOAST","Blackgill rockfish Pacific Coast",0,NULL
"GOPHERSPCOAST",166767,"Sebastes carnatus","Gopher rockfish","USA-NMFS-SPCOAST","Gopher rockfish Southern Pacific Coast",0,NULL
"PSOLENPCOAST",172868,"Eopsetta jordani","Petrale sole","USA-NMFS-NPCOAST","Petrale sole Northern Pacific Coast",0,NULL
"PSOLESPCOAST",172868,"Eopsetta jordani","Petrale sole","USA-NMFS-SPCOAST","Petrale sole Southern Pacific Coast",0,NULL
"STFLOUNNPCOAST",172893,"Platichthys stellatus","Starry flounder","USA-NMFS-NPCOAST","Starry flounder Northern Pacific Coast",0,NULL
"STFLOUNSPCOAST",172893,"Platichthys stellatus","Starry flounder","USA-NMFS-SPCOAST","Starry flounder Southern Pacific Coast",0,NULL
"WPOLLNSO",164722,"Theragra chalcogramma","Walleye pollock","Russia-RFFA-NSO","Walleye pollock Northern Sea of Okhotsk",0,NULL
"WPOLLWBS",164722,"Theragra chalcogramma","Walleye pollock","Russia-RFFA-WBS","Walleye pollock Western Bering Sea",0,NULL
"LOBSTERGB",97314,"Homarus americanus","American lobster","USA-NMFS-5Z","American lobster Georges Bank",0,NULL
"LOBSTERGOM",97314,"Homarus americanus","American lobster","USA-NMFS-5Y","American lobster Gulf of Maine",0,NULL
"LOBSTERSNE",97314,"Homarus americanus","American lobster","USA-NMFS-SNE","American lobster Southern New England",0,NULL
"SAABALONESA",-995,"Haliotis midae","South African abalone","South Africa-DETMCM-SA","South African abalone South Africa",0,NULL
"SNOWCRABSGSL",98428,"Chionoecetes opilio","Snow crab","Canada-DFO-4T","Snow crab Southern Gulf of St. Lawrence",0,NULL
"BSKAT5YZSNE",564139,"Dipturus laevis","Barndoor skate","USA-NMFS-5YZSNE","Barndoor skate Gulf of Marine / Georges Bank-Southern New England",0,NULL
"CSKATMATLC",160855,"Raja eglanteria","Clearnose skate","USA-NMFS-MATLC","Clearnose skate Mid-Atlantic Coast",0,NULL
"LSKAT5YCHATT",564130,"Leucoraja erinacea","Little skate","USA-NMFS-5YCHATT","Little skate Gulf of Maine / Cape Hatteras",0,NULL
"RSKATMATLC",564136,"Leucoraja garmani","Rosette skate","USA-NMFS-MATLC","Rosette skate Mid-Atlantic Coast",0,NULL
"SSKAT5YZSNE",564151,"Malacoraja senta","Smooth skate","USA-NMFS-5YZSNE","Smooth skate Gulf of Marine / Georges Bank-Southern New England",0,NULL
"TSKAT5YZSNE",564149,"Amblyraja radiata","Thorny skate","USA-NMFS-5YZSNE","Thorny skate Gulf of Marine / Georges Bank-Southern New England",0,NULL
"WSKAT5YCHATT",564145,"Leucoraja ocellata","Winter skate","USA-NMFS-5YCHATT","Winter skate Gulf of Maine / Cape Hatteras",0,NULL
"AUSSALMONNZ",168827,"Arripis trutta","Australian salmon","New Zealand-MFish-NZ","Australian salmon New Zealand",0,NULL
"BTIPSHARGM",160318,"Carcharhinus limbatus","Blacktip shark","USA-NMFS-GM","Blacktip shark Gulf of Mexico",0,NULL
"KELPGREENLINGORECOAST",167110,"Hexagrammos decagrammus","Kelp greenling","USA-NMFS-ORECOAST","Kelp greenling Oregon Coast",0,NULL
"CABEZNCAL",692068,"Scorpaenichthys marmoratus","Cabezon","USA-NMFS-NCAL","Cabezon Northern California",0,NULL
"CABEZSCAL",692068,"Scorpaenichthys marmoratus","Cabezon","USA-NMFS-SCAL","Cabezon Southern California",0,NULL
"ATOOTHFISHRS",642808,"Dissostichus mawsoni","Antarctic toothfish","multinational-CCAMLR-RS","Antarctic toothfish Ross Sea",0,NULL
"SMOOTHOREOWECR",625280,"Pseudocyttus maculatus","Smooth oreo","New Zealand-MFish-WECR","Smooth oreo West end of Chatham Rise",0,NULL
"SMOOTHOREOCR",625280,"Pseudocyttus maculatus","Smooth oreo","New Zealand-MFish-CR","Smooth oreo Chatham Rise",0,NULL
"SFMAKONWPAC",159924,"Isurus oxyrinchus","Shortfin mako","multinational-UNKNOWN-NWPAC","Shortfin mako Nothwest Pacific Ocean",0,NULL
"WEAKFISHATLC",169241,"Cynoscion regalis","Weakfish","USA-NMFS-ATLC","Weakfish Atlantic Coast",0,NULL
"RKCRABNS",97935,"Paralithodes camtschaticus","Red king crab","USA-NMFS-NS","Red king crab Norton Sound",0,NULL
