stockid,tsn,scientificname,commonname,areaid,stocklong,inMYERSDB,MYERSstockid
"AMPL3M",172877,"Hippoglossoides platessoides","American Plaice","multinational-NAFO-3M","American Plaice NAFO-3M",1,"AMPL3M"
"AMPL3Ps",172877,"Hippoglossoides platessoides","American Plaice","multinational-NAFO-3Ps","American Plaice NAFO-3Ps",1,"AMPL3Ps"
"HAD4X",164744,"Melanogrammus aeglefinus","Haddock","multinational-NAFO-4X","Haddock NAFO-4X",1,"HAD4X"
"HAD4X5Y",164744,"Melanogrammus aeglefinus","Haddock","multinational-NAFO-4X5Y","Haddock NAFO-4X5Y",0,NULL
"HAD5Y",164744,"Melanogrammus aeglefinus","Haddock","multinational-NAFO-5Y","Haddock NAFO-5Y",1,"HAD5Y"
"HAD5Z",164744,"Melanogrammus aeglefinus","Haddock","multinational-NAFO-5Z","Haddock NAFO-5Z",1,"HAD5Z"
"HAD5Zejm",164744,"Melanogrammus aeglefinus","Haddock","multinational-NAFO-5Zejm","Haddock NAFO-5Zejm",0,NULL
"HADICE",164744,"Melanogrammus aeglefinus","Haddock","multinational-ICES-Va","Haddock Iceland",1,"HADICE"
"YELL5Z",172909,"Limanda ferruginea","Yellowtail Flounder","multinational-NAFO-5Z","Yellowtail Flounder NAFO-5Z",1,"YELL5Z"
"YELL3LNO",172909,"Limanda ferruginea","Yellowtail Flounder","multinational-NAFO-3LNO","Yellowtail Flounder NAFO 3LNO",1,"YELL3LNO"
"YELLSNEMATL",172909,"Limanda ferruginea","Yellowtail Flounder","USA-NMFS-SNEMATL","Yellowtail Flounder Southern New England-Mid Atlantic",1,"YELLSNE"
"POLL5YZ",164727,"Pollachius virens","Pollock","multinational-NAFO-5YZ","Pollock NAFO-5YZ",0,NULL
"POLL4VWX5Zc",164727,"Pollachius virens","Pollock","multinational-NAFO-4VWX5Zc","Pollock NAFO-4VWX5Zc",0,NULL
"POLL4VWX5",164727,"Pollachius virens","Pollock","multinational-NAFO-4VWX5","Pollock NAFO-4VWX5",1,"POLL4VWX5"
"WITFLOUN5Y",172873,"Glyptocephalus cynoglossus","Witch Flounder","multinational-NAFO-5Y","Witch Flounder NAFO-5Y",0,NULL
"WINFLOUND5Y",172905,"Pseudopleuronectes americanus","Winter Flounder","multinational-NAFO-5Y","Winter Flounder NAFO-5Y",0,NULL
"WINFLOUNSNEMATL",172905,"Pseudopleuronectes americanus","Winter Flounder","USA-NMFS-SNEMATL","Winter Flounder Southern New England-Mid Atlantic",0,NULL
"WINFLOUN5Z",172905,"Pseudopleuronectes americanus","Winter Flounder","multinational-NAFO-5Z","Winter Flounder NAFO-5Z",0,NULL
"WHAKE5YZ",164732,"Urophycis tenuis","White Hake","multinational-NAFO-5YZ","White Hake NAFO-5YZ",0,NULL
"WINDOW5YZ",172746,"Scophthalmus aquosus","Windowpane","multinational-NAFO-5YZ","Windowpane NAFO-5YZ",0,NULL
"WINDOWSNEMATL",172746,"Scophthalmus aquosus","Windowpane","USA-NMFS-SNEMATL","Windowpane Southern New England-Mid Atlantic",0,NULL
